issue_number,resolution_time
1,5.0
2,3.0
3,4.0
4,60.0
5,38.0
6,7.0
7,5.0
8,22.0
9,1.0
10,0.0
11,13.0
12,3.0
13,10.0
14,19.0
15,19.0
16,1.0
17,1.0
18,1.0
19,20.0
20,1.0
21,8.0
22,18.0
23,26.0
24,11.0
25,3.0
26,119.0
27,0.0
28,0.0
29,0.0
30,20.0
31,10.0
32,0.0
33,1582.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,34.0
44,23.0
45,2.0
46,1.0
47,166.0
48,1.0
49,3.0
50,0.0
51,1.0
52,0.0
53,1.0
54,0.0
55,4.0
56,8.0
57,0.0
58,0.0
59,0.0
60,0.0
61,92.0
62,2.0
63,4.0
64,1.0
65,7.0
66,0.0
67,0.0
68,83.0
69,0.0
70,330.0
71,14.0
72,6.0
73,0.0
74,4.0
75,4.0
76,0.0
77,4.0
78,0.0
79,179.0
80,22.0
81,5.0
82,9.0
83,0.0
84,2.0
85,0.0
86,0.0
87,1.0
88,7.0
89,1.0
90,1.0
91,0.0
92,19.0
93,187.0
94,2.0
95,20.0
96,9.0
97,6.0
98,0.0
99,21.0
100,4.0
101,4.0
102,0.0
103,5.0
104,0.0
105,4.0
106,17.0
107,7.0
108,14.0
109,2.0
110,3.0
111,5.0
112,0.0
113,0.0
114,11.0
115,8.0
116,9.0
117,78.0
118,2711.0
119,78.0
120,2838.0
121,24.0
122,17.0
123,4.0
124,1.0
125,2.0
126,0.0
127,0.0
128,0.0
129,9.0
130,1.0
131,11.0
132,1.0
133,6.0
134,3.0
135,0.0
136,28.0
137,3.0
138,25.0
139,2.0
140,1.0
141,0.0
142,4.0
143,3.0
144,9.0
145,5.0
146,5.0
147,1.0
148,1.0
149,0.0
150,0.0
151,4.0
152,1.0
153,1.0
154,8.0
155,3.0
156,0.0
157,6.0
158,0.0
159,9.0
160,0.0
161,6.0
162,1.0
163,5.0
164,1.0
165,1060.0
166,6.0
167,862.0
168,11.0
169,1.0
170,1119.0
171,23.0
172,38.0
173,21.0
174,15.0
175,15.0
176,20.0
