issue_number,resolution_time
1,15.0
2,3.0
3,4.0
4,4.0
5,2.0
6,0.0
7,0.0
8,2.0
9,8.0
10,0.0
11,9.0
12,6.0
13,1.0
14,71.0
15,23.0
16,7.0
17,13.0
18,0.0
19,2.0
20,1.0
21,16.0
22,8.0
23,2.0
24,7.0
25,46.0
26,0.0
27,1.0
28,21.0
29,16.0
30,58.0
31,5.0
32,1.0
33,0.0
34,1.0
35,16.0
36,31.0
37,11.0
38,64.0
39,24.0
40,15.0
41,33.0
42,58.0
43,106.0
44,23.0
45,21.0
46,5.0
47,241.0
48,72.0
49,14.0
50,23.0
51,453.0
52,2595.0
53,453.0
54,3599.0
55,453.0
56,6655.0
57,493.0
58,1439.0
59,493.0
60,491.0
61,493.0
62,NA
63,453.0
64,8.0
65,0.0
66,8.0
67,8.0
68,8.0
69,8.0
70,8.0
71,8.0
72,8.0
73,0.0
74,0.0
75,1.0
76,2040.0
77,2123.0
78,0.0
79,0.0
80,0.0
81,0.0
82,1464.0
83,1310.0
84,3.0
85,14.0
86,17.0
87,27.0
88,0.0
89,2.0
90,0.0
91,0.0
92,13.0
93,11.0
94,1123.0
95,10.0
96,4.0
97,17.0
98,22.0
99,72.0
100,11.0
101,7.0
102,143.0
103,127.0
104,24.0
105,404.0
106,18.0
107,3.0
108,344.0
109,12.0
110,12.0
111,0.0
112,11.0
113,170.0
114,58.0
115,12.0
116,0.0
117,10.0
118,16.0
119,1.0
120,4413.0
121,107.0
122,24.0
123,96.0
124,0.0
125,19.0
126,7.0
127,23.0
128,1.0
129,26.0
130,26.0
131,2746.0
132,1522.0
133,242.0
134,225.0
135,120.0
136,276.0
137,276.0
138,68.0
139,93.0
140,0.0
141,248.0
142,22.0
143,756.0
144,95.0
145,93.0
146,60.0
147,1.0
148,61.0
149,802.0
150,43.0
151,50.0
152,48.0
153,59.0
154,58.0
155,391.0
156,243.0
157,1.0
158,3394.0
159,14.0
160,11.0
161,97.0
162,10.0
163,12.0
164,5.0
165,3.0
166,0.0
167,18.0
168,69.0
169,174.0
170,19.0
171,3876.0
172,1.0
173,23.0
174,24.0
175,26.0
176,68.0
177,22.0
178,41.0
179,51.0
180,201.0
181,24.0
182,46.0
183,57.0
184,36.0
185,2.0
186,5.0
187,1945.0
188,NA
189,14.0
190,12.0
191,23.0
192,13.0
193,10.0
194,352.0
195,8.0
196,7.0
197,1.0
198,6.0
199,5.0
200,13.0
201,13.0
202,68.0
203,14.0
204,51.0
205,0.0
206,1056.0
207,5.0
208,0.0
209,26.0
210,0.0
211,24.0
212,37.0
213,5.0
214,4.0
215,2.0
216,55.0
217,1.0
218,28.0
219,158.0
220,29.0
221,189.0
222,33.0
223,12.0
224,9.0
225,1.0
226,45.0
227,6.0
228,37.0
229,2589.0
230,26.0
231,22.0
232,21.0
233,3117.0
234,383.0
235,73.0
236,17.0
237,344.0
238,2.0
239,2.0
240,4618.0
241,0.0
242,8.0
243,110.0
244,48.0
245,39.0
246,33.0
247,22.0
248,3.0
249,19.0
250,1.0
251,15.0
252,11.0
253,21.0
254,34.0
255,2.0
256,27.0
257,7.0
258,10.0
259,36.0
260,33.0
261,563.0
262,15.0
263,15.0
264,17.0
265,NA
266,11.0
267,4.0
268,35.0
269,6627.0
270,2257.0
271,17.0
272,38.0
273,5979.0
274,34.0
275,59.0
276,25.0
277,NA
278,22.0
279,0.0
280,104.0
281,5.0
282,18.0
283,12.0
284,28.0
285,32.0
286,34.0
287,69.0
288,91.0
289,89.0
290,40.0
291,25.0
292,111.0
293,1298.0
294,1292.0
295,2311.0
296,97.0
297,77.0
298,875.0
299,14.0
300,21.0
301,22.0
302,24.0
303,188.0
304,9.0
305,30.0
306,711.0
307,6.0
308,38.0
309,4.0
310,243.0
311,8.0
312,2.0
313,404.0
314,149.0
315,151.0
316,285.0
317,24.0
318,135.0
319,140.0
320,NA
321,15.0
322,238.0
323,603.0
324,95.0
325,2.0
326,1244.0
327,214.0
328,38.0
329,161.0
330,107.0
331,21.0
332,110.0
333,326.0
334,518.0
335,1.0
336,71.0
337,27.0
338,49.0
339,101.0
340,37.0
341,3.0
342,359.0
343,NA
344,51.0
345,386.0
346,1274.0
347,1749.0
348,43.0
349,63.0
350,61.0
351,155.0
352,299.0
353,153.0
354,272.0
355,39.0
356,3.0
357,18.0
358,301.0
359,115.0
360,17.0
361,107.0
362,71.0
363,76.0
364,54.0
365,2095.0
366,53.0
367,41.0
368,36.0
369,30.0
370,30.0
371,49.0
372,78.0
373,2.0
374,0.0
375,NA
376,29.0
377,61.0
378,4.0
379,984.0
380,11.0
381,80.0
382,0.0
383,1.0
384,12.0
385,1296.0
386,23.0
387,36.0
