issue_number,resolution_time
1,30.0
2,0.0
3,9.0
4,21.0
5,38.0
6,0.0
7,8.0
8,3.0
9,2.0
10,127.0
11,0.0
12,3.0
13,7.0
14,614.0
15,11.0
16,1.0
17,725.0
18,12.0
19,4.0
20,0.0
21,5.0
22,0.0
23,0.0
24,4641.0
25,0.0
26,2.0
27,1.0
28,1.0
29,1.0
30,0.0
31,6.0
32,1588.0
33,4.0
34,1.0
36,40.0
37,54.0
38,312.0
39,1.0
40,1.0
41,32.0
42,6.0
43,3842.0
44,2963.0
45,2.0
46,122.0
47,71.0
48,121.0
49,121.0
50,1.0
51,10.0
52,6.0
53,0.0
54,0.0
55,69.0
56,3149.0
57,2.0
58,0.0
59,1.0
60,440.0
61,1.0
62,195.0
63,2.0
64,0.0
65,110.0
66,109.0
67,93.0
68,79.0
69,2299.0
70,78.0
71,2298.0
72,316.0
73,0.0
74,818.0
75,1.0
76,1.0
77,645.0
78,2.0
79,627.0
80,487.0
81,446.0
82,1758.0
83,1.0
84,307.0
85,263.0
86,5.0
87,2.0
88,58.0
89,184.0
90,32.0
91,1.0
92,48.0
93,3.0
94,96.0
95,335.0
96,328.0
97,259.0
98,155.0
99,33.0
100,0.0
101,10.0
102,21.0
103,12.0
104,2.0
105,296.0
106,294.0
107,4.0
108,0.0
109,148.0
110,0.0
111,0.0
112,95.0
113,95.0
114,0.0
115,0.0
116,1.0
117,20.0
118,0.0
119,6.0
120,4.0
121,1.0
122,16368.0
123,1132.0
124,0.0
125,0.0
126,1.0
127,0.0
128,0.0
129,0.0
130,0.0
131,7.0
132,2.0
133,0.0
134,118.0
135,242.0
136,3.0
137,3.0
138,1.0
139,22.0
140,2.0
141,0.0
142,15.0
143,1340.0
144,8.0
145,2448.0
146,2.0
147,220.0
148,2407.0
149,633.0
150,0.0
151,806.0
152,7.0
153,120.0
154,213.0
155,1953.0
156,556.0
157,2297.0
158,556.0
159,7.0
160,275.0
161,0.0
162,7.0
163,14.0
164,0.0
165,0.0
166,0.0
167,413.0
168,1.0
169,0.0
170,393.0
171,940.0
172,0.0
173,1.0
174,0.0
175,42.0
176,242.0
177,238.0
178,11182.0
179,15282.0
180,30.0
181,0.0
182,0.0
183,0.0
184,0.0
185,66.0
186,27.0
187,17.0
188,3.0
189,7.0
190,193.0
191,2348.0
192,0.0
193,0.0
194,0.0
195,2.0
196,0.0
197,0.0
198,23.0
199,3.0
200,0.0
201,0.0
202,0.0
203,23.0
204,0.0
205,0.0
206,21.0
207,72.0
208,1.0
209,0.0
210,0.0
211,192.0
212,0.0
213,951.0
214,69.0
215,0.0
216,18.0
217,9567.0
218,534.0
219,772.0
220,18.0
221,1.0
222,24.0
223,1.0
224,1.0
225,254.0
226,0.0
227,153.0
228,410.0
229,595.0
230,8.0
231,0.0
232,12.0
233,1.0
234,41.0
235,34.0
236,13.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,571.0
244,155.0
245,145.0
246,343.0
247,145.0
248,490.0
249,0.0
250,50.0
251,9236.0
252,4.0
253,0.0
254,8368.0
255,1.0
256,2.0
257,49.0
258,12.0
259,96.0
260,2.0
261,0.0
262,11.0
263,7844.0
264,1.0
265,2.0
266,0.0
267,0.0
268,4.0
269,1.0
270,9.0
271,70.0
272,1.0
273,78.0
274,1.0
275,3.0
276,0.0
277,0.0
278,0.0
279,0.0
280,4.0
281,0.0
282,0.0
283,6.0
284,0.0
285,177.0
286,48.0
287,44.0
288,44.0
289,45.0
290,44.0
291,45.0
292,7902.0
293,42.0
294,0.0
295,41.0
296,16.0
297,7935.0
298,1.0
299,0.0
300,1.0
301,100.0
302,49.0
303,5.0
304,3.0
305,0.0
306,286.0
307,1.0
308,1.0
309,2.0
310,0.0
311,0.0
312,19.0
313,296.0
314,27513.0
315,7956.0
316,2.0
317,1872.0
318,362.0
319,0.0
320,212.0
321,198.0
322,0.0
323,4.0
324,6308.0
325,90.0
326,15.0
327,66.0
328,59.0
329,65.0
330,51.0
331,16.0
332,1665.0
333,1.0
334,13.0
335,11.0
336,14.0
337,17.0
338,68.0
339,0.0
340,6.0
341,1.0
342,0.0
343,33.0
344,3.0
345,16.0
346,13.0
347,1.0
348,0.0
349,6.0
350,242.0
351,0.0
352,0.0
353,0.0
354,21.0
355,50.0
356,40.0
357,0.0
358,1797.0
359,1928.0
360,7619.0
361,128.0
362,0.0
363,2.0
364,1.0
365,0.0
366,63.0
367,627.0
368,54.0
369,3.0
370,1761.0
371,0.0
372,138.0
373,28.0
374,10.0
375,1.0
376,1.0
377,0.0
378,1.0
379,2.0
380,1337.0
381,0.0
382,1710.0
383,0.0
384,0.0
385,64.0
386,0.0
387,59.0
388,1.0
389,1.0
390,0.0
391,0.0
392,353.0
393,0.0
394,0.0
395,0.0
396,5.0
397,4.0
398,0.0
399,0.0
400,81.0
401,0.0
402,174.0
403,5.0
404,5.0
405,1472.0
406,1472.0
407,39.0
408,21.0
409,211.0
410,0.0
411,3.0
412,0.0
413,21.0
414,0.0
415,0.0
416,7095.0
417,64.0
418,301.0
419,7092.0
420,2.0
421,883.0
422,1.0
423,19.0
424,4.0
425,281.0
426,0.0
427,983.0
428,0.0
429,86.0
430,1.0
431,0.0
432,7.0
433,6.0
