issue_number,resolution_time
1,46.0
2,1.0
3,0.0
4,1.0
5,0.0
6,3268.0
7,3337.0
8,4001.0
9,4.0
10,2.0
11,291.0
12,1222.0
13,1780.0
14,172.0
15,52.0
16,6.0
17,0.0
18,3.0
19,21.0
20,236.0
21,20.0
22,32.0
23,3.0
24,3.0
25,0.0
26,1.0
27,174.0
28,1059.0
29,2.0
30,79.0
31,3.0
32,438.0
33,3.0
34,48.0
35,14.0
36,0.0
37,740.0
38,0.0
39,199.0
40,0.0
41,71.0
42,0.0
43,303.0
44,7.0
45,6.0
46,0.0
47,6.0
48,1.0
49,3.0
50,0.0
51,0.0
52,141.0
53,0.0
54,196.0
55,148.0
56,2.0
57,405.0
58,21.0
59,1.0
60,2.0
61,195.0
62,38.0
63,33.0
64,1.0
65,10.0
66,32.0
67,5.0
68,521.0
69,112.0
70,492.0
71,2.0
72,0.0
73,0.0
74,27.0
75,391.0
76,146.0
77,1.0
78,5.0
79,118.0
80,18.0
81,7.0
82,5.0
83,16.0
84,26.0
85,0.0
86,14.0
87,0.0
88,4.0
89,4.0
90,0.0
91,20.0
92,2.0
93,2.0
94,1.0
95,174.0
96,174.0
97,1.0
98,206.0
99,32.0
100,13.0
101,161.0
102,3.0
103,146.0
104,145.0
105,195.0
106,38.0
107,74.0
108,0.0
109,25.0
110,2.0
111,119.0
112,12.0
113,151.0
114,1.0
115,1.0
116,1.0
117,0.0
118,1.0
119,0.0
120,4.0
121,99.0
122,99.0
123,2.0
124,6.0
125,5.0
126,3.0
127,10.0
128,11.0
129,9.0
130,22.0
131,2.0
132,36.0
133,351.0
134,0.0
135,4.0
136,0.0
137,0.0
138,8.0
139,42.0
140,5.0
141,0.0
142,1.0
143,0.0
144,1.0
145,48.0
146,27.0
147,8.0
148,0.0
149,0.0
150,3.0
151,28.0
152,0.0
153,2.0
154,11.0
155,2.0
156,3.0
157,42.0
158,4.0
159,1.0
160,305.0
161,1.0
162,136.0
163,137.0
164,1.0
165,27.0
166,178.0
167,109.0
168,227.0
169,27.0
170,0.0
171,0.0
172,102.0
173,0.0
174,102.0
175,78.0
176,10.0
177,7.0
178,1.0
179,97.0
180,17.0
181,0.0
182,66.0
183,3.0
184,1.0
185,1.0
186,2.0
187,1.0
188,1.0
189,53.0
190,10.0
191,28.0
192,29.0
193,1.0
194,3.0
195,17.0
196,16.0
197,4.0
198,0.0
199,0.0
200,0.0
201,0.0
202,58.0
203,8.0
204,0.0
205,25.0
206,1.0
207,0.0
208,12.0
209,6.0
210,0.0
211,1.0
212,1.0
213,29.0
214,1.0
215,7.0
216,13.0
217,6.0
218,4.0
219,0.0
220,1.0
221,6.0
222,14.0
223,0.0
224,1.0
225,28.0
226,10.0
227,0.0
228,1.0
229,0.0
230,0.0
231,0.0
232,1.0
233,948.0
234,1.0
235,25.0
236,30.0
237,13.0
238,11.0
239,11.0
240,5.0
241,0.0
242,3.0
243,1.0
244,0.0
245,4.0
246,2.0
247,1.0
248,15.0
249,17.0
250,15.0
251,13.0
252,1.0
253,357.0
254,0.0
255,79.0
256,4.0
257,1.0
258,19.0
259,898.0
260,0.0
261,869.0
262,0.0
263,0.0
264,5.0
265,1.0
266,0.0
267,0.0
268,1.0
269,41.0
270,29.0
271,0.0
272,5.0
273,4.0
274,0.0
275,0.0
276,1.0
277,715.0
278,3.0
279,109.0
280,103.0
281,25.0
282,39.0
283,18618.0
284,9.0
285,90.0
286,84.0
287,0.0
288,0.0
289,2.0
290,23.0
291,0.0
292,0.0
293,0.0
294,0.0
295,8.0
296,6.0
297,0.0
298,1.0
299,37.0
300,NA
301,6.0
302,0.0
303,584.0
304,4.0
305,7.0
306,0.0
307,0.0
308,0.0
309,0.0
310,7.0
311,0.0
312,0.0
313,6.0
314,58.0
315,0.0
316,45.0
317,14340.0
318,23.0
319,9.0
320,8.0
321,7.0
322,0.0
323,2.0
324,0.0
325,6.0
326,1.0
327,0.0
328,354.0
329,0.0
330,0.0
331,324.0
332,0.0
333,2.0
334,1.0
335,1.0
336,1.0
337,257.0
338,3.0
339,5.0
340,30.0
341,176.0
342,7.0
343,3.0
344,18.0
345,16.0
346,10.0
347,91.0
348,0.0
349,0.0
350,68.0
351,53.0
352,25.0
353,19.0
354,0.0
355,8827.0
356,7533.0
357,NA
358,38229.0
359,NA
360,33189.0
361,17928.0
362,11.0
363,7.0
364,7940.0
365,14379.0
366,0.0
367,0.0
368,3922.0
369,8754.0
370,0.0
371,6.0
372,3840.0
373,4.0
374,8684.0
375,13.0
376,0.0
377,991.0
378,0.0
379,1.0
380,0.0
381,26.0
382,1.0
383,5.0
384,572.0
385,1.0
386,27.0
387,14.0
388,10.0
389,1.0
390,3.0
391,509.0
392,5.0
393,1.0
394,1683.0
395,2.0
396,380.0
397,12.0
398,2.0
399,3532.0
400,10.0
401,17448.0
402,8.0
403,7619.0
404,3451.0
405,3.0
406,0.0
407,7838.0
408,1.0
409,12.0
410,25.0
411,12.0
412,1.0
413,6.0
414,3.0
415,2.0
416,2.0
417,1.0
418,11.0
419,0.0
420,89.0
421,0.0
422,4231.0
425,17.0
426,1.0
427,3139.0
428,86.0
429,3122.0
430,3.0
431,277.0
432,135.0
433,11.0
434,2.0
435,0.0
436,4.0
437,3046.0
438,6.0
439,21.0
440,2919.0
441,126.0
442,0.0
443,0.0
444,0.0
445,0.0
446,8.0
447,1.0
448,349.0
449,1.0
