issue_number,resolution_time
1,287.0
2,623.0
3,0.0
4,17.0
5,51.0
6,47.0
7,45.0
8,72.0
9,72.0
10,58.0
11,5.0
12,1.0
13,NA
14,6.0
15,3.0
16,1130.0
17,10.0
18,13790.0
19,119.0
20,39.0
21,13.0
22,5.0
23,942.0
24,22368.0
25,684.0
26,0.0
27,12815.0
28,12.0
29,10.0
30,0.0
31,9.0
32,21660.0
33,20.0
34,21542.0
35,22.0
36,0.0
37,6094.0
38,6074.0
39,20797.0
40,5.0
41,1.0
42,NA
43,77.0
44,3.0
45,0.0
46,0.0
47,2.0
48,37076.0
49,1.0
50,0.0
51,3.0
52,19861.0
53,10629.0
54,11.0
55,NA
56,15.0
57,360.0
58,2.0
59,2.0
60,26.0
61,11656.0
62,190.0
63,1.0
64,3.0
65,18749.0
66,NA
67,18408.0
68,8.0
69,1117.0
70,23.0
71,20.0
72,3325.0
73,8.0
74,6677.0
75,0.0
76,0.0
77,1.0
78,17612.0
79,0.0
80,2505.0
81,9.0
82,14.0
83,1720.0
84,4.0
85,1512.0
86,1.0
87,1.0
88,0.0
89,1.0
90,14.0
91,1.0
92,0.0
93,250.0
94,15421.0
95,6352.0
96,22.0
97,1.0
98,6.0
99,2.0
100,44.0
101,1.0
102,0.0
103,27.0
104,559.0
105,2.0
106,451.0
107,0.0
108,5586.0
109,3.0
110,3.0
111,0.0
112,4956.0
113,0.0
114,1.0
115,30719.0
116,8.0
117,NA
118,NA
119,24654.0
120,79.0
121,76.0
122,49.0
123,4096.0
124,NA
125,209.0
126,3904.0
127,5.0
128,3826.0
129,NA
130,21.0
131,4.0
132,3696.0
133,45.0
134,2.0
135,21.0
136,263.0
137,1.0
138,255.0
139,NA
140,10185.0
141,136.0
142,371.0
143,3130.0
144,71.0
145,3.0
146,44.0
147,NA
148,2730.0
149,38293.0
150,NA
151,2605.0
152,2043.0
153,28081.0
154,1853.0
155,NA
156,1880.0
157,1370.0
158,1199.0
159,857.0
160,874.0
161,NA
162,2260.0
163,12.0
164,412.0
165,579.0
166,487.0
167,1.0
168,0.0
169,19.0
170,67.0
171,16.0
172,3.0
173,0.0
174,1.0
175,356.0
176,1.0
177,1.0
178,NA
179,5205.0
180,189.0
181,173.0
182,NA
183,100.0
184,NA
185,141.0
186,47.0
187,7.0
188,NA
189,4054.0
190,27.0
191,NA
192,NA
193,16.0
194,643.0
195,NA
196,153.0
197,23.0
198,4.0
199,NA
200,17.0
201,8.0
202,7.0
203,5.0
204,53.0
