issue_number,resolution_time
1,291.0
2,821.0
3,290.0
4,17.0
5,528.0
6,1920.0
7,0.0
8,99.0
9,3.0
10,6042.0
11,1370.0
12,159.0
13,1.0
14,0.0
15,160.0
16,86.0
17,2687.0
18,12030.0
19,1583.0
20,2822.0
21,1536.0
22,2.0
23,3.0
24,2.0
25,1698.0
26,811.0
27,167.0
28,1032.0
29,431.0
30,13.0
31,1219.0
32,1219.0
33,1939.0
34,1248.0
35,379.0
36,953.0
37,2418.0
38,1241.0
39,46.0
40,2127.0
41,2030.0
42,368.0
43,27.0
44,67.0
45,22.0
46,2394.0
47,1047.0
48,21.0
49,51.0
50,1.0
51,1.0
52,23.0
53,0.0
54,21.0
55,21.0
56,17.0
57,42.0
58,595.0
59,20.0
60,2.0
61,457.0
62,1.0
63,43.0
64,1075.0
65,0.0
66,1035.0
67,751.0
68,750.0
69,53.0
70,72.0
71,1.0
72,69.0
73,197.0
74,50.0
75,1009.0
76,194.0
77,1036.0
78,1656.0
79,1820.0
80,44.0
81,525.0
82,163.0
83,117.0
84,1629.0
85,0.0
86,87.0
87,91.0
88,134.0
89,1120.0
90,70.0
91,74.0
92,2356.0
93,581.0
94,49.0
95,15054.0
96,2059.0
97,1672.0
98,840.0
99,1846.0
100,540.0
101,2017.0
102,10973.0
103,189.0
104,2185.0
105,10973.0
106,106.0
107,2017.0
108,10973.0
109,946.0
110,145.0
111,533.0
112,23.0
113,1485.0
114,172.0
115,307.0
116,183.0
117,0.0
118,69.0
119,640.0
120,2004.0
121,7.0
122,0.0
123,1987.0
124,76.0
125,933.0
126,110.0
127,502.0
128,932.0
129,1983.0
130,1983.0
131,98.0
132,167.0
133,2118.0
134,43.0
135,38.0
136,727.0
137,3.0
138,1394.0
139,3.0
140,38.0
141,15.0
142,130.0
143,1.0
144,3.0
145,1849.0
146,670.0
147,19.0
148,1.0
149,18.0
150,12.0
151,11.0
152,1825.0
153,20.0
154,339.0
155,16.0
156,338.0
157,72.0
158,618.0
159,475.0
160,3.0
161,320.0
162,460.0
163,2.0
164,0.0
165,0.0
166,1315.0
167,310.0
168,22.0
169,21.0
170,15.0
171,1706.0
172,0.0
173,96.0
174,364.0
175,1700.0
176,95.0
177,171.0
178,340.0
179,2.0
180,0.0
181,3.0
182,0.0
183,1.0
184,1.0
185,1.0
186,1.0
187,309.0
188,1.0
189,15.0
190,62.0
191,2.0
192,10554.0
193,10.0
194,10.0
195,144.0
196,25.0
197,1534.0
198,2.0
199,214.0
200,211.0
201,16.0
202,45.0
203,983.0
204,498.0
205,16.0
206,813.0
207,1.0
208,1.0
209,23.0
210,0.0
211,1.0
212,3.0
213,18.0
214,0.0
215,10457.0
216,2.0
217,0.0
218,289.0
219,24.0
220,3.0
221,10443.0
222,1.0
223,0.0
224,1.0
225,934.0
226,1.0
227,0.0
228,0.0
229,21.0
230,283.0
231,114.0
232,4.0
233,20.0
234,1263.0
235,38.0
236,80.0
237,120.0
238,25.0
239,3315.0
240,1.0
241,937.0
242,5.0
243,7625.0
244,1453.0
245,281.0
246,67.0
247,278.0
248,40.0
249,39.0
250,14.0
251,1368.0
252,2.0
253,0.0
254,18.0
255,169.0
256,57.0
257,1.0
258,959.0
259,22.0
260,1.0
261,146.0
262,1.0
263,1.0
264,1316.0
265,2.0
266,10269.0
267,10250.0
268,589.0
269,13.0
270,210.0
271,647.0
272,2.0
273,1.0
274,103.0
275,150.0
276,123.0
277,170.0
278,5.0
279,150.0
280,29.0
281,149.0
282,149.0
283,4.0
284,20.0
285,626.0
286,6.0
287,10106.0
288,8.0
289,14.0
290,603.0
291,1.0
292,10008.0
293,7.0
294,27.0
295,9987.0
296,5.0
297,4.0
298,3.0
299,574.0
300,5681.0
301,0.0
302,1006.0
303,3.0
304,465.0
305,0.0
306,474.0
307,269.0
308,592.0
309,89.0
310,93.0
311,93.0
312,399.0
313,335.0
314,309.0
315,15.0
316,54.0
317,163.0
318,12.0
319,130.0
320,133.0
321,155.0
322,119.0
323,251.0
324,3410.0
325,1003.0
326,284.0
327,39.0
328,9753.0
329,1444.0
330,26.0
331,23.0
332,17.0
333,193.0
334,47.0
335,4924.0
336,131.0
337,119.0
338,503.0
339,508.0
340,28.0
341,24.0
342,19.0
343,52.0
344,103.0
345,452.0
346,96.0
347,1.0
348,94.0
349,94.0
350,4652.0
351,4856.0
352,499.0
353,63.0
354,4.0
355,3.0
356,382.0
357,429.0
358,3.0
359,242.0
360,2.0
361,167.0
362,23.0
363,0.0
364,23.0
365,164.0
366,82.0
367,221.0
368,221.0
369,384.0
370,2761.0
371,354.0
372,183.0
373,337.0
374,333.0
375,22.0
376,5154.0
377,481.0
378,121.0
379,25.0
380,17.0
381,17.0
382,301.0
383,94.0
384,81.0
385,78.0
386,67.0
387,281.0
388,59.0
389,9442.0
390,218.0
391,7.0
392,4.0
393,217.0
394,411.0
395,28.0
396,0.0
397,19.0
398,0.0
399,9126.0
400,368.0
401,3.0
402,2.0
403,2.0
404,9122.0
405,185.0
406,45.0
407,9119.0
408,160.0
409,79.0
410,1038.0
411,133.0
412,7.0
413,13109.0
414,42.0
415,236.0
416,2.0
417,71.0
418,4.0
419,1.0
420,1.0
421,0.0
422,3.0
423,77.0
424,54.0
425,5.0
426,0.0
427,5.0
428,3.0
429,17.0
430,0.0
431,29.0
432,5.0
433,2.0
434,19.0
435,49.0
436,42.0
437,23.0
438,23.0
439,142.0
440,4.0
441,2406.0
442,126.0
443,4.0
444,292.0
445,894.0
446,1.0
447,47.0
448,2.0
449,2.0
450,2.0
451,1.0
452,26.0
453,1.0
454,1.0
455,210.0
456,44.0
457,3.0
458,118.0
459,197.0
460,197.0
461,12987.0
462,1.0
463,21.0
464,20.0
465,15.0
466,5.0
467,3.0
468,1.0
469,1.0
470,1.0
471,0.0
472,23.0
473,3.0
474,20.0
475,95.0
476,20.0
477,2.0
478,1.0
479,16.0
480,15.0
481,13.0
482,1.0
483,10.0
484,2340.0
485,8911.0
486,5.0
487,3.0
488,142.0
489,73.0
490,98.0
491,0.0
492,3.0
493,22.0
494,22.0
495,46.0
496,2353.0
497,2353.0
498,2353.0
499,146.0
500,0.0
501,89.0
502,164.0
503,18.0
504,18.0
505,42.0
506,17.0
507,14.0
508,51.0
509,47.0
510,20.0
511,45.0
512,4.0
513,4.0
514,44.0
515,40.0
516,3333.0
517,3.0
518,39.0
519,1.0
520,1.0
521,240.0
522,0.0
523,2286.0
524,3.0
525,2.0
526,3.0
527,3.0
528,1.0
529,0.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,8834.0
536,19.0
537,18.0
538,0.0
539,44.0
540,8833.0
541,46.0
542,22.0
543,37.0
544,6.0
545,173.0
546,2741.0
547,23.0
548,4.0
549,6073.0
550,26.0
551,556.0
552,1.0
553,23.0
554,0.0
555,0.0
556,18.0
557,19.0
558,17.0
559,2254.0
560,16.0
561,16.0
562,15.0
563,15.0
564,2.0
565,3.0
566,5.0
567,120.0
568,33.0
569,24.0
570,3.0
571,2.0
572,24.0
573,23.0
574,1.0
575,8789.0
576,8789.0
577,23.0
578,2.0
579,119.0
580,28.0
581,0.0
582,0.0
583,1.0
584,4236.0
585,8786.0
586,24.0
587,26.0
588,20.0
589,0.0
590,26.0
591,0.0
592,24.0
593,0.0
594,18.0
595,17.0
596,14.0
597,453.0
598,16.0
599,20.0
600,21.0
601,16.0
602,23.0
603,17.0
604,28.0
605,0.0
606,9.0
607,9.0
608,0.0
609,8764.0
610,2.0
611,3.0
612,23.0
613,1.0
614,5.0
615,5.0
616,5.0
617,29.0
618,4.0
619,1.0
620,1.0
621,4.0
622,2.0
623,22.0
624,1.0
625,20.0
626,1.0
627,24.0
628,0.0
629,14.0
630,0.0
631,423.0
632,24.0
633,4.0
634,0.0
635,0.0
636,7.0
637,122.0
638,414.0
639,78.0
640,1.0
641,2.0
642,3.0
643,97.0
644,4.0
645,3.0
646,2.0
647,0.0
648,6002.0
649,3154.0
650,71.0
651,2.0
652,1.0
653,1.0
654,6.0
655,97.0
656,2188.0
657,2188.0
658,3.0
659,4.0
660,3.0
661,410.0
662,1.0
663,8.0
664,3.0
665,8739.0
666,2.0
667,0.0
668,1.0
669,1.0
670,1.0
671,22.0
672,1.0
673,1.0
674,1.0
