issue_number,resolution_time
1,26957.0
2,157.0
3,240.0
4,5.0
5,64.0
6,6440.0
7,33.0
8,106.0
9,26769.0
10,1.0
11,93.0
12,10.0
13,0.0
14,1.0
15,0.0
16,8.0
17,34.0
18,34.0
19,1.0
20,8.0
21,262.0
22,68.0
23,6.0
24,1.0
25,21.0
26,0.0
27,1645.0
28,106.0
29,1271.0
30,2.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,25.0
38,124.0
39,6.0
40,22.0
41,1731.0
42,5.0
43,24.0
44,9.0
45,4.0
46,1.0
47,19.0
48,110.0
49,71.0
50,1505.0
51,62.0
52,1.0
53,1.0
54,61.0
55,2.0
56,144.0
57,37.0
58,34.0
59,28.0
60,1568.0
61,5.0
62,31.0
63,392.0
64,7.0
65,103.0
66,884.0
67,63.0
68,63.0
69,1.0
70,0.0
71,875.0
72,42.0
73,0.0
74,4.0
75,262.0
76,72.0
77,70.0
78,335.0
79,343.0
80,122.0
81,57.0
82,1503.0
83,342.0
84,9412.0
85,1439.0
86,35.0
87,1476.0
88,1577.0
89,23.0
90,1.0
91,59.0
92,6.0
93,4.0
94,6.0
95,161.0
96,19.0
97,685.0
98,12.0
99,44.0
100,7.0
101,1.0
102,1057.0
103,192.0
104,14.0
105,137.0
106,NA
107,4.0
108,699.0
109,22.0
110,60.0
111,0.0
112,58.0
113,214.0
114,149.0
115,8.0
116,8.0
117,302.0
118,190.0
119,143.0
120,6.0
121,252.0
122,140.0
123,359.0
124,6.0
125,100.0
126,640.0
127,2.0
128,0.0
129,15.0
130,117.0
131,9.0
132,0.0
133,37.0
134,37.0
135,174.0
136,0.0
137,9.0
138,8.0
139,6876.0
140,1.0
141,55.0
142,8.0
143,1.0
144,37.0
145,74.0
146,983.0
147,8231.0
148,17.0
149,17.0
150,14.0
151,59.0
152,59.0
153,54.0
154,102.0
155,1.0
156,0.0
157,42.0
158,927.0
159,81.0
160,104.0
161,23.0
162,2.0
163,15.0
164,442.0
165,420.0
166,140.0
167,92.0
168,11.0
169,411.0
170,4324.0
171,79.0
172,51.0
173,89.0
174,1271.0
175,16.0
176,8.0
177,205.0
178,63.0
179,63.0
180,15.0
181,6.0
182,0.0
183,37.0
184,144.0
185,156.0
186,23.0
187,10.0
188,21.0
189,367.0
190,5888.0
191,395.0
192,201.0
193,23.0
194,34.0
195,81.0
196,25.0
197,82.0
198,70.0
199,283.0
200,1.0
201,52.0
202,8.0
203,785.0
204,36.0
205,73.0
206,27.0
207,6640.0
208,90.0
209,20.0
210,145.0
211,0.0
212,0.0
213,252.0
214,724.0
215,1.0
216,20.0
217,25.0
218,25.0
219,8.0
220,12.0
221,28.0
222,6.0
223,6.0
224,6.0
225,2.0
226,2.0
227,215.0
228,6.0
229,5.0
230,4.0
231,11.0
232,11.0
233,853.0
234,878.0
235,120.0
236,119.0
237,6889.0
238,165.0
239,609.0
240,24.0
241,21.0
242,110.0
243,12.0
244,2.0
245,5290.0
246,115.0
247,115.0
248,7847.0
249,24.0
250,86.0
251,24.0
252,86.0
253,8.0
254,44.0
255,5603.0
256,5309.0
257,37.0
258,65.0
259,78.0
260,78.0
261,10.0
262,5.0
263,4134.0
264,1.0
265,721.0
266,241.0
267,811.0
268,154.0
269,10.0
270,874.0
271,2.0
272,6.0
273,6.0
274,55.0
275,35.0
276,7.0
277,7.0
278,848.0
279,32.0
280,678.0
281,455.0
282,25.0
283,3640.0
284,8.0
285,8.0
286,658.0
287,5782.0
288,8.0
289,8.0
290,98.0
291,73.0
292,70.0
293,644.0
294,637.0
295,48.0
296,154.0
297,49.0
298,38.0
299,106.0
300,106.0
301,143.0
302,0.0
303,246.0
304,500.0
305,66.0
306,63.0
307,707.0
308,80.0
309,66.0
310,65.0
311,213.0
312,66.0
313,27.0
314,1.0
315,458.0
316,196.0
317,9.0
318,81.0
319,8098.0
320,409.0
321,405.0
322,148.0
323,544.0
324,375.0
325,6.0
326,28.0
327,28.0
328,144.0
329,153.0
330,610.0
331,122.0
332,113.0
333,9662.0
334,93.0
335,86.0
336,397.0
337,556.0
338,62.0
339,57.0
340,62.0
341,55.0
342,0.0
343,0.0
344,15.0
345,7.0
346,23.0
347,7436.0
348,12.0
349,11.0
350,8.0
351,8.0
352,8.0
353,8.0
354,8.0
355,3.0
356,2.0
357,33.0
358,74.0
359,119.0
360,1.0
361,23.0
362,63.0
363,95.0
364,14.0
365,32.0
366,27.0
367,454.0
368,20.0
369,16.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,73.0
376,287.0
377,73.0
378,7338.0
379,166.0
380,218.0
381,18.0
382,17.0
383,374.0
384,7.0
385,4.0
386,45.0
387,64.0
388,64.0
389,1.0
390,1.0
391,0.0
392,289.0
393,37.0
394,37.0
395,7301.0
396,100.0
397,1.0
398,108.0
399,104.0
400,15.0
401,15.0
402,23.0
403,73.0
404,49.0
405,125.0
406,14.0
407,2.0
408,1.0
409,28.0
410,0.0
411,7.0
412,98.0
413,3.0
414,11.0
415,21.0
416,37.0
417,89.0
418,89.0
419,20.0
420,47.0
421,63.0
422,12.0
423,2.0
424,1.0
425,3.0
426,3.0
427,20.0
428,20.0
429,24.0
430,87.0
431,23.0
432,11.0
433,5.0
434,79.0
435,11.0
436,7.0
437,15.0
438,14.0
439,14.0
440,17.0
441,14.0
442,98.0
443,207.0
444,65.0
445,60.0
446,64.0
447,46.0
448,120.0
449,69.0
450,24.0
451,38.0
452,34.0
453,34.0
454,53.0
455,50.0
456,17.0
457,2.0
458,2.0
459,20.0
460,20.0
461,18.0
462,109.0
463,6.0
464,15.0
465,2.0
466,6.0
467,6.0
468,6.0
469,31.0
470,19.0
471,7040.0
472,2.0
473,1.0
474,0.0
475,6.0
476,0.0
477,0.0
478,0.0
479,3.0
480,1.0
481,0.0
482,16.0
483,16.0
484,2.0
485,2.0
486,11.0
487,18.0
488,16.0
489,15.0
490,18.0
491,11.0
492,16.0
493,17.0
494,4469.0
495,4380.0
496,2695.0
497,1069.0
498,3.0
499,8.0
500,7.0
501,4.0
502,2.0
503,25.0
504,58.0
505,23.0
506,6258.0
507,4.0
508,16.0
509,2.0
510,2.0
511,0.0
512,14.0
513,1.0
514,1.0
515,0.0
516,17.0
517,4.0
518,2.0
519,2.0
520,20.0
521,3.0
522,196.0
523,11.0
524,6.0
525,6162.0
526,39.0
527,141.0
528,35.0
529,35.0
530,1494.0
531,2800.0
532,1493.0
533,1.0
534,54.0
535,6074.0
536,1448.0
537,0.0
538,0.0
539,3.0
540,3.0
541,25.0
542,37.0
543,11.0
544,2585.0
545,8.0
546,8.0
547,8.0
548,0.0
549,7.0
550,297.0
551,533.0
552,1.0
553,35.0
554,35.0
555,0.0
556,24.0
557,3.0
558,3.0
559,3.0
560,3.0
561,1.0
562,1.0
563,71.0
564,1.0
565,1.0
566,12.0
567,7.0
568,48.0
569,4.0
570,4.0
571,4.0
572,4.0
573,4.0
574,24.0
575,6538.0
576,156.0
577,372.0
578,22.0
579,21.0
580,21.0
581,21.0
582,115.0
583,0.0
584,63.0
585,334.0
586,1.0
587,333.0
588,29.0
589,29.0
590,0.0
591,21.0
592,1696.0
593,34.0
594,3611.0
595,3533.0
596,191.0
597,141.0
598,141.0
599,141.0
600,141.0
601,186.0
602,16.0
603,6.0
604,6.0
605,101.0
606,3149.0
607,101.0
608,2926.0
609,6.0
610,335.0
611,10.0
612,10.0
613,5.0
614,1.0
615,49.0
616,46.0
617,46.0
618,4.0
619,4.0
620,0.0
621,11.0
622,109.0
623,109.0
624,50.0
625,50.0
626,1411.0
627,23.0
628,23.0
629,1410.0
630,372.0
631,512.0
632,1373.0
633,1367.0
634,0.0
635,10.0
636,317.0
637,0.0
638,0.0
639,1738.0
640,1738.0
641,438.0
642,328.0
643,305.0
644,1291.0
645,6.0
646,1273.0
647,1300.0
648,258.0
649,252.0
650,5.0
651,1135.0
652,3340.0
653,20.0
654,18.0
655,5.0
656,42.0
657,30.0
658,6024.0
659,2.0
660,1.0
661,1.0
662,144.0
663,96.0
664,1271.0
665,124.0
666,119.0
667,104.0
668,46.0
669,13.0
670,13.0
671,680.0
672,41.0
673,0.0
674,1.0
675,1366.0
676,82.0
677,0.0
678,1706.0
679,3.0
680,6.0
681,1169.0
682,8.0
683,49.0
684,47.0
685,0.0
686,784.0
687,784.0
688,10.0
689,726.0
690,2378.0
691,26.0
692,20.0
693,0.0
694,4.0
695,4.0
696,4.0
697,156.0
698,94.0
699,69.0
700,69.0
701,69.0
702,69.0
703,64.0
704,0.0
705,12.0
706,2.0
707,11.0
708,9.0
709,1.0
710,0.0
711,13.0
712,13.0
713,409.0
714,0.0
715,0.0
716,3.0
717,1.0
718,3.0
719,627.0
720,9.0
721,9.0
722,198.0
723,155.0
724,0.0
725,6.0
726,588.0
727,75.0
728,74.0
729,150.0
730,150.0
731,205.0
732,516.0
733,335.0
734,498.0
735,450.0
736,529.0
737,4.0
738,32.0
739,31.0
740,25.0
741,1661.0
742,185.0
743,57.0
744,89.0
745,0.0
746,0.0
747,1610.0
748,49.0
749,25.0
750,564.0
751,552.0
752,1.0
753,1.0
754,1.0
755,0.0
756,1595.0
757,72.0
758,87.0
759,12.0
760,239.0
761,27.0
762,11.0
763,11.0
764,7.0
765,22.0
766,1.0
767,1.0
768,4.0
769,0.0
770,73.0
771,1.0
772,1.0
773,1.0
774,8.0
775,0.0
776,0.0
777,257.0
778,50.0
779,46.0
780,171.0
781,900.0
782,41.0
783,639.0
784,7.0
785,467.0
786,636.0
787,1632.0
788,54.0
789,8.0
790,7.0
791,8.0
792,49.0
793,209.0
794,9.0
795,242.0
796,24.0
797,4.0
798,2267.0
799,2007.0
800,9.0
801,23.0
