issue_number,resolution_time
1,13.0
2,10.0
3,12984.0
4,6301.0
5,12576.0
6,11.0
7,12482.0
8,1.0
9,1.0
10,3465.0
11,1197.0
12,506.0
13,12386.0
14,224.0
15,0.0
16,1.0
17,3294.0
18,1044.0
19,0.0
20,15570.0
21,6087.0
22,12155.0
23,30.0
24,17.0
25,2.0
26,0.0
27,1719.0
28,479.0
29,83.0
30,15008.0
31,1.0
32,277.0
33,243.0
34,NA
35,0.0
36,3.0
37,4526.0
38,13.0
39,10763.0
40,56.0
41,7.0
42,217.0
43,3351.0
44,13.0
45,11.0
46,64.0
47,3.0
48,18.0
49,1067.0
50,7.0
51,572.0
52,13520.0
53,568.0
54,564.0
55,494.0
56,1941.0
57,360.0
58,1.0
59,9113.0
60,13.0
61,5654.0
62,8.0
63,6.0
64,17.0
65,3.0
66,8.0
67,11.0
68,33.0
69,18.0
70,12437.0
71,164.0
72,8.0
73,12030.0
74,0.0
75,0.0
76,24.0
77,8498.0
78,2389.0
79,106.0
80,2.0
81,0.0
82,1161.0
83,251.0
84,10.0
85,7822.0
86,3.0
87,7817.0
88,40.0
89,211.0
90,0.0
91,7643.0
92,7643.0
93,12.0
94,5.0
95,4.0
96,0.0
97,243.0
98,7182.0
99,7063.0
100,7143.0
101,7116.0
102,20.0
103,0.0
104,16.0
105,624.0
106,NA
107,569.0
108,6902.0
109,1.0
110,6767.0
111,386.0
112,25.0
113,6649.0
114,356.0
115,1.0
116,NA
117,6647.0
118,6573.0
119,9957.0
120,2238.0
121,155.0
122,27.0
123,6846.0
124,27.0
125,9856.0
126,9855.0
127,8630.0
128,7.0
129,18.0
130,3.0
131,9706.0
132,5.0
133,9688.0
134,9573.0
135,106.0
136,21.0
137,1787.0
138,9450.0
139,9445.0
140,1.0
141,1729.0
142,0.0
143,16.0
144,6.0
145,9347.0
146,104.0
147,2.0
148,72.0
149,388.0
150,9203.0
151,2.0
152,9172.0
153,NA
154,NA
155,12.0
156,NA
157,NA
158,20215.0
159,NA
160,6778.0
161,100.0
162,30.0
163,7.0
164,350.0
165,1250.0
166,0.0
167,4.0
168,23.0
169,90.0
170,10472.0
171,1.0
172,NA
173,6995.0
174,581.0
175,8861.0
176,0.0
177,NA
178,0.0
179,NA
180,NA
181,23.0
182,1.0
183,152.0
184,198.0
185,35.0
186,NA
187,NA
188,0.0
189,48.0
190,319.0
191,NA
192,4.0
193,278.0
194,1.0
195,NA
196,NA
197,21174.0
198,13222.0
199,21171.0
200,45.0
201,4.0
202,NA
203,21116.0
204,21145.0
205,0.0
206,0.0
207,0.0
208,NA
209,NA
210,4802.0
211,NA
212,NA
213,723.0
214,8151.0
215,25.0
216,NA
217,NA
218,NA
219,93.0
220,1.0
221,NA
222,11.0
223,0.0
224,0.0
225,42.0
226,NA
227,NA
228,9.0
229,NA
230,2.0
231,2.0
232,4.0
233,1.0
234,29.0
235,140.0
236,NA
237,361.0
238,1.0
239,59.0
240,0.0
241,81.0
242,2.0
243,NA
244,184.0
245,1.0
246,NA
247,0.0
248,0.0
249,NA
250,NA
251,18186.0
252,1.0
253,0.0
254,0.0
255,68.0
256,437.0
257,5.0
258,NA
259,53.0
260,NA
261,9.0
262,2.0
263,255.0
264,NA
265,2.0
266,NA
267,92.0
268,3.0
269,359.0
270,NA
271,17.0
272,12.0
273,0.0
274,NA
275,108.0
276,11594.0
277,98.0
278,NA
279,13.0
280,77.0
281,9.0
282,6717.0
283,NA
284,19566.0
285,1.0
286,2721.0
287,407.0
288,NA
289,3855.0
290,NA
291,6545.0
292,72.0
293,NA
294,NA
295,NA
296,6.0
297,421.0
298,483.0
299,471.0
300,0.0
301,458.0
302,458.0
303,NA
304,395.0
305,NA
306,NA
307,362.0
308,16856.0
309,333.0
310,NA
311,213.0
312,8513.0
313,1.0
314,0.0
315,18891.0
316,NA
317,18866.0
318,NA
319,114.0
320,NA
321,NA
322,NA
323,NA
324,3.0
325,NA
326,24.0
327,5.0
328,18579.0
329,353.0
330,80.0
331,19.0
332,3.0
333,94.0
334,NA
335,10.0
336,NA
337,3183.0
338,NA
339,5.0
340,2.0
341,19.0
342,18233.0
343,955.0
344,8.0
345,4997.0
346,28.0
347,6.0
348,2.0
349,425.0
350,NA
351,NA
352,1.0
353,72.0
354,NA
355,8.0
356,1.0
357,14.0
358,4.0
359,0.0
360,NA
361,NA
362,1936.0
363,NA
364,NA
365,46.0
366,0.0
367,10.0
368,NA
369,8002.0
370,279.0
371,23.0
372,NA
373,NA
374,2920.0
375,7136.0
376,NA
377,109.0
378,18358.0
379,NA
380,NA
381,1071.0
382,78.0
383,NA
384,7740.0
385,2218.0
386,NA
387,1194.0
388,21.0
389,NA
390,NA
391,4613.0
392,48.0
393,6.0
394,7.0
395,95.0
396,NA
397,NA
398,1.0
399,1.0
400,NA
401,188.0
402,NA
403,NA
404,NA
405,179.0
406,46.0
407,NA
408,0.0
409,3.0
410,NA
411,2.0
412,6637.0
413,2.0
414,781.0
415,0.0
416,0.0
417,17.0
418,3.0
419,4.0
420,18.0
421,18.0
422,NA
423,6426.0
424,552.0
425,509.0
426,1.0
427,4.0
428,54.0
429,0.0
430,NA
431,NA
432,0.0
433,253.0
434,NA
435,NA
436,NA
437,261.0
438,NA
439,259.0
440,1301.0
441,NA
442,635.0
443,NA
444,1.0
445,0.0
446,90.0
447,NA
448,4.0
449,22.0
450,2.0
451,0.0
452,0.0
453,7.0
454,1.0
455,2.0
456,0.0
457,0.0
458,NA
459,NA
460,NA
461,27.0
462,1.0
463,1.0
464,33.0
465,0.0
466,1.0
467,NA
468,NA
469,11.0
470,NA
471,1.0
