issue_number,resolution_time
1,38.0
2,0.0
3,7.0
4,364.0
5,100.0
6,90.0
7,3.0
8,0.0
9,0.0
10,3.0
11,0.0
12,24.0
13,687.0
14,0.0
15,8.0
16,0.0
17,51.0
18,2.0
19,28.0
20,0.0
21,1.0
22,0.0
23,0.0
24,1.0
25,6.0
26,0.0
27,9.0
28,1.0
29,1.0
30,13.0
31,0.0
32,0.0
33,3.0
34,0.0
35,9.0
36,12.0
37,1.0
38,10.0
39,0.0
40,0.0
41,2.0
42,16.0
43,2.0
44,71.0
45,0.0
46,0.0
47,164.0
48,54.0
49,7.0
50,7.0
51,1.0
52,1.0
53,72.0
54,71.0
55,42.0
56,1586.0
57,22.0
58,39.0
59,24.0
60,8.0
61,6.0
62,2.0
63,81.0
64,19.0
65,16.0
66,7.0
67,0.0
68,7.0
69,17.0
70,9.0
71,14.0
72,8.0
73,1958.0
74,13.0
75,0.0
76,361.0
77,0.0
78,1.0
79,43.0
80,1.0
81,40.0
82,6.0
83,1.0
84,0.0
85,6.0
86,21.0
87,37.0
88,0.0
89,1.0
90,841.0
91,48.0
92,27.0
93,41.0
94,80.0
95,14143.0
96,141.0
97,24.0
98,18.0
99,7.0
100,178.0
101,195.0
102,192.0
103,34.0
104,15278.0
105,11784.0
106,2078.0
107,11079.0
108,977.0
109,3628.0
110,895.0
111,270.0
112,9528.0
113,69.0
114,9678.0
115,9608.0
116,25.0
117,20.0
118,20.0
119,12.0
120,8927.0
121,8080.0
122,51.0
123,0.0
124,6229.0
125,7323.0
126,5985.0
127,7695.0
128,7330.0
129,2.0
130,87.0
131,6256.0
132,5371.0
133,5110.0
134,5214.0
135,4991.0
136,4945.0
137,4886.0
138,0.0
139,4264.0
140,898.0
141,158.0
142,1258.0
143,223.0
144,220.0
145,201.0
146,69.0
147,12.0
148,1768.0
149,122.0
150,68.0
151,1002.0
152,5.0
153,0.0
154,1737.0
155,0.0
156,2.0
157,15.0
158,0.0
159,47.0
160,492.0
161,0.0
162,146.0
163,3.0
164,368.0
165,2378.0
166,1165.0
167,325.0
168,2.0
169,3649.0
170,84.0
171,7.0
172,0.0
173,303.0
174,16.0
175,0.0
176,3293.0
177,18.0
178,3.0
179,3152.0
180,2158.0
181,0.0
182,17.0
183,2133.0
184,27.0
185,2.0
186,1.0
187,4.0
188,0.0
189,0.0
190,0.0
191,0.0
192,2.0
193,1.0
194,24.0
195,1.0
196,1.0
197,0.0
198,913.0
199,845.0
200,884.0
201,884.0
202,883.0
203,862.0
204,583.0
205,86.0
206,0.0
207,98.0
208,319.0
209,21.0
210,0.0
211,0.0
212,9.0
213,15.0
214,1.0
215,0.0
216,15.0
217,3.0
218,116.0
219,116.0
220,67.0
221,94.0
222,46.0
223,0.0
224,3.0
225,3.0
226,316.0
227,15.0
228,54.0
229,315.0
230,52.0
231,2.0
232,0.0
233,5.0
234,5.0
235,142.0
236,93.0
237,42.0
238,3.0
239,47.0
240,29.0
241,27.0
242,0.0
243,14.0
244,17.0
245,12.0
246,2.0
247,0.0
248,1.0
249,20.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,0.0
256,2.0
257,0.0
258,0.0
259,53.0
260,54.0
261,78.0
262,24.0
263,54.0
264,0.0
265,0.0
266,0.0
267,4.0
268,4.0
269,0.0
270,0.0
271,23.0
272,21.0
273,0.0
274,7.0
275,3.0
276,9.0
277,179.0
278,179.0
279,186.0
280,181.0
281,664.0
282,70.0
283,27.0
284,73.0
285,1.0
286,13.0
287,23.0
288,22.0
289,20.0
290,20.0
291,27.0
292,1.0
293,31.0
294,1.0
295,8.0
296,6.0
297,2.0
298,1.0
299,0.0
300,0.0
301,19.0
302,19.0
303,2.0
304,285.0
305,2.0
306,1.0
307,111.0
308,99.0
309,102.0
310,73.0
311,277.0
312,7.0
313,7.0
314,1.0
315,3.0
316,10.0
