resolution_time,name,configuration,mention_time
358,amber,Random-issues,NA
5,amber,Random-issues,Random-issues
7,amber,Random-issues,NA
6655,amber,Random-issues,NA
2956,amber,Random-issues,NA
243,amber,Random-issues,NA
15,amber,Random-issues,NA
220,amber,Random-issues,NA
53,amber,Random-issues,NA
24,amber,Random-issues,NA
10,amber,Random-issues,NA
244,amber,Random-issues,NA
1324,amber,Random-issues,NA
2371,amber,Random-issues,NA
20,amber,Random-issues,NA
1,amber,Random-issues,NA
453,amber,Random-issues,NA
NA,amber,Random-issues,NA
10,amber,Random-issues,NA
491,amber,Random-issues,NA
1871,amber,Random-issues,NA
111,amber,Random-issues,NA
4,amber,Random-issues,NA
417,amber,Random-issues,NA
17,amber,Random-issues,NA
55,amber,Random-issues,NA
5,amber,Random-issues,NA
1945,amber,Random-issues,NA
12,amber,Random-issues,NA
4500,amber,Random-issues,NA
188,amber,Random-issues,NA
5,amber,Random-issues,NA
50,amber,Random-issues,NA
0,amber,Random-issues,NA
74,amber,Random-issues,NA
67,amber,Random-issues,NA
45,amber,Random-issues,NA
3,amber,Random-issues,NA
1985,amber,Random-issues,NA
500,amber,Random-issues,NA
8523,amber,Random-issues,NA
0,amber,Random-issues,NA
51,amber,Random-issues,NA
408,amber,Random-issues,NA
71,amber,Random-issues,NA
15,amber,Random-issues,NA
61,amber,Random-issues,NA
1124,amber,Random-issues,NA
1,amber,Random-issues,NA
17,amber,Random-issues,NA
12,amber,Random-issues,NA
2269,amber,Random-issues,NA
15,amber,Random-issues,NA
7,amber,Random-issues,NA
0,amber,Random-issues,NA
170,amber,Random-issues,NA
814,amber,Random-issues,NA
46,amber,Random-issues,NA
89,amber,Random-issues,NA
4,amber,Random-issues,NA
38,amber,Random-issues,NA
21,amber,Random-issues,NA
290,amber,Random-issues,NA
NA,amber,Random-issues,NA
28,amber,Random-issues,NA
NA,amber,Random-issues,NA
89,amber,Random-issues,NA
144,amber,Random-issues,NA
1,amber,Random-issues,NA
16,amber,Random-issues,NA
46,amber,Random-issues,NA
44,amber,Random-issues,NA
571,amber,Random-issues,NA
32,amber,Random-issues,NA
13,amber,Random-issues,NA
0,amber,Random-issues,NA
100,amber,Random-issues,NA
NA,amber,Random-issues,NA
6362,amber,Random-issues,NA
4535,amber,Random-issues,NA
11,amber,Random-issues,NA
73,amber,Random-issues,NA
115,amber,Random-issues,NA
260,amber,Random-issues,NA
0,amber,Random-issues,NA
110,amber,Random-issues,NA
462,amber,Random-issues,NA
10,amber,Random-issues,NA
143,amber,Random-issues,NA
2511,amber,Random-issues,NA
17,amber,Random-issues,NA
12,amber,Random-issues,NA
21,amber,Random-issues,NA
18,amber,Random-issues,NA
493,amber,Random-issues,NA
3319,amber,Random-issues,NA
2,amber,Random-issues,NA
231,amber,Random-issues,NA
79,amber,Random-issues,NA
34,amber,Random-issues,NA
3,amber,Random-issues,NA
2746,amber,Random-issues,NA
0,amber,Random-issues,NA
8,amber,Random-issues,NA
1,amber,Random-issues,NA
33,amber,Random-issues,NA
30,amber,Random-issues,NA
16,amber,Random-issues,NA
276,amber,Random-issues,NA
5,amber,Random-issues,NA
1,amber,Random-issues,NA
28,amber,Random-issues,NA
0,amber,Random-issues,NA
392,amber,Random-issues,NA
7,amber,Random-issues,NA
97,amber,Random-issues,NA
26,amber,Random-issues,NA
9,amber,Random-issues,NA
313,amber,Random-issues,NA
192,amber,Random-issues,NA
42,amber,Random-issues,NA
48,amber,Random-issues,NA
11,amber,Random-issues,NA
289,amber,Random-issues,NA
349,amber,Random-issues,NA
158,amber,Random-issues,NA
67,amber,Random-issues,NA
1,amber,Random-issues,NA
2099,amber,Random-issues,NA
1011,amber,Random-issues,NA
36,amber,Random-issues,NA
8,amber,Random-issues,NA
129,amber,Random-issues,NA
665,amber,Random-issues,NA
802,amber,Random-issues,NA
68,amber,Random-issues,NA
0,amber,Random-issues,NA
0,amber,Random-issues,NA
103,amber,Random-issues,NA
34,amber,Random-issues,NA
22,amber,Random-issues,NA
11,amber,Random-issues,NA
4567,amber,Random-issues,NA
19,amber,Random-issues,NA
8,amber,Random-issues,NA
23,amber,Random-issues,NA
11,amber,Random-issues,NA
86,amber,Random-issues,NA
81,amber,Random-issues,NA
7848,amber,Random-issues,NA
1019,amber,Random-issues,NA
110,amber,Random-issues,NA
3117,amber,Random-issues,NA
32,amber,Random-issues,NA
1773,amber,Random-issues,NA
14,amber,Random-issues,NA
242,amber,Random-issues,NA
3701,amber,Random-issues,NA
243,amber,Random-issues,NA
27,amber,Random-issues,NA
280,amber,Random-issues,NA
48,amber,Random-issues,NA
8,amber,Random-issues,NA
5570,amber,Random-issues,NA
3,amber,Random-issues,NA
7,amber,Random-issues,NA
4474,amber,Random-issues,NA
124,amber,Random-issues,NA
603,amber,Random-issues,NA
5,amber,Random-issues,NA
293,amber,Random-issues,NA
571,amber,Random-issues,NA
119,amber,Random-issues,NA
43,amber,Random-issues,NA
45,amber,Random-issues,NA
1,amber,Random-issues,NA
24,amber,Random-issues,NA
19,amber,Random-issues,NA
51,amber,Random-issues,NA
4108,amber,Random-issues,NA
363,amber,Random-issues,NA
123,amber,Random-issues,NA
17,amber,Random-issues,NA
371,amber,Random-issues,NA
4,amber,Random-issues,NA
225,amber,Random-issues,NA
5044,amber,Random-issues,NA
2,amber,Random-issues,NA
2,amber,Random-issues,NA
7,amber,Random-issues,NA
4,amber,Random-issues,NA
69,amber,Random-issues,NA
11,amber,Random-issues,NA
251,amber,Random-issues,NA
17,amber,Random-issues,NA
2734,amber,Random-issues,NA
104,amber,Random-issues,NA
42,amber,Random-issues,NA
182,amber,Random-issues,NA
0,amber,Random-issues,NA
170,amber,Random-issues,NA
2,amber,Random-issues,NA
93,amber,Random-issues,NA
97,amber,Random-issues,NA
91,amber,Random-issues,NA
7,amber,Random-issues,NA
2653,amber,Random-issues,NA
238,amber,Random-issues,NA
66,amber,Random-issues,NA
167,amber,Random-issues,NA
0,amber,Random-issues,NA
24,amber,Random-issues,NA
97,amber,Random-issues,NA
58,amber,Random-issues,NA
153,amber,Random-issues,NA
14,amber,Random-issues,NA
8492,amber,Random-issues,NA
1403,amber,Random-issues,NA
1439,amber,Random-issues,NA
0,amber,Random-issues,NA
6,amber,Random-issues,NA
493,amber,Random-issues,NA
6,amber,Random-issues,NA
280,amber,Random-issues,NA
6,amber,Random-issues,NA
2,amber,Random-issues,NA
396,amber,Random-issues,NA
33,amber,Random-issues,NA
15,amber,Random-issues,NA
49,amber,Random-issues,NA
55,amber,Random-issues,NA
23,amber,Random-issues,NA
52,amber,Random-issues,NA
62,amber,Random-issues,NA
151,amber,Random-issues,NA
1,amber,Random-issues,NA
32,amber,Random-issues,NA
5,amber,Random-issues,NA
14,amber,Random-issues,NA
16,amber,Random-issues,NA
60,amber,Random-issues,NA
5,amber,Random-issues,NA
8,amber,Random-issues,NA
1274,amber,Random-issues,NA
3,amber,Random-issues,NA
24,amber,Random-issues,NA
563,amber,Random-issues,NA
0,amber,Random-issues,NA
30,amber,Random-issues,NA
1,amber,Random-issues,NA
1650,amber,Random-issues,NA
163,angular,Random-issues,NA
10,angular,Random-issues,NA
9,angular,Random-issues,NA
23,angular,Random-issues,NA
246,angular,Random-issues,NA
3694,angular,Random-issues,NA
20,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
112,angular,Random-issues,NA
10,angular,Random-issues,NA
1739,angular,Random-issues,NA
1,angular,Random-issues,NA
840,angular,Random-issues,NA
694,angular,Random-issues,NA
110,angular,Random-issues,NA
40,angular,Random-issues,NA
6,angular,Random-issues,NA
4050,angular,Random-issues,NA
143,angular,Random-issues,NA
15,angular,Random-issues,NA
2,angular,Random-issues,NA
24,angular,Random-issues,NA
2,angular,Random-issues,NA
6085,angular,Random-issues,NA
6,angular,Random-issues,NA
63,angular,Random-issues,NA
25,angular,Random-issues,NA
242,angular,Random-issues,NA
27,angular,Random-issues,NA
1612,angular,Random-issues,NA
8,angular,Random-issues,NA
930,angular,Random-issues,NA
2,angular,Random-issues,NA
157,angular,Random-issues,NA
0,angular,Random-issues,NA
2,angular,Random-issues,NA
24,angular,Random-issues,NA
31,angular,Random-issues,NA
127,angular,Random-issues,NA
1,angular,Random-issues,NA
9,angular,Random-issues,NA
0,angular,Random-issues,NA
44,angular,Random-issues,NA
3,angular,Random-issues,NA
16,angular,Random-issues,NA
4857,angular,Random-issues,NA
NA,angular,Random-issues,NA
1211,angular,Random-issues,NA
7,angular,Random-issues,NA
2,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
1377,angular,Random-issues,NA
545,angular,Random-issues,NA
141,angular,Random-issues,NA
2,angular,Random-issues,NA
22,angular,Random-issues,NA
