2efPer,
Aaron S. Hawley,
Adianto Wibisono,
Adriaan Moors,
Adrien Suree,
af,
Aggelos Biboudis,
Akhtyam Sakaev,
Alan Johnson,
Alden Torres,
Alejandro Sellero,
Aleksandar,
aleksandar,
Aleksandar Pokopec,
Aleksandar Prokopec,
Alessandro Buggin,
Alessandro Cifani,
Alessandro Lacava,
Alexander Clare,
Alex Cruise,
Alexey-NM,
Alexey Romanov,
Alex Glukhovtsev,
Alex Levenson,
Alex Vayda,
Alissa Rao,
Allan Renucci,
Allison H,
allisonhb,
amin,
Anatolii,
Anatolii Kmetiuk,
Andrei Baidarov,
Andrew Phillips,
Andrew Valencik,
Andrey Kutejko,
Andriy Plokhotnyuk,
Andriy Polishchuk,
Anselm von Wangenheim,
Anthony Tjuatja,
Antoine Gourlay,
Antonio Cunei,
Arno den Hartog,
Arnout Engelen,
ashwin,
Atsushi Araki,
Ausmarton Zarino Fernandes,
Automation Bot,
awibisono,
Bakhytzhan Karabalin,
BartekJanota,
Ben Elliott,
Ben Hutchison,
Benjamin Kurczyk,
Benni,
Bjorn Regnell,
Blair Zajac,
bnyu,
Boris Korogvich,
BrianLondon,
Brian McKenna,
Brian Wignall,
brijest,
Bruno Bieth,
BuildTools,
Burak Emir,
buraq,
Callum Turnbull,
Carlo Dapor,
Carsten Varming,
Casey Leask,
cchantep,
ccjoywang,
chanyong.moon,
chengpohi,
Chris Birchall,
chrisJames,
chrisokasaki,
Chris Phelps,
Christoffer Sawicki,
Christopher Davenport,
Christopher Hunt,
Christopher Vogt,
Christoph Neijenhuis,
Chuck Zeng,
Chujie Zeng,
clhodapp,
CodingTwinky,
Cody Allen,
Cody Mello,
cong,
Cong Zhao,
Connor Doyle,
cremet,
Cristian Tălău,
cunei,
cvogt,
Dale Wijnand,
Damien,
Dan Brown,
Dan Garrette,
Dan Hopkins,
Daniel Barclay,
Daniel Capo Sobral,
Daniel C. Sobral,
Daniel Darabos,
Daniel Dietrich,
Daniele Torelli,
Daniel Moss,
Daniel Slapman,
Danila Matveev,
Dan Rosen,
Dan Skells,
Darcy Shen,
David Andrzejewski,
David Barri,
David Gregory,
David Hall,
David Hoepelman,
David MacIver,
David Pollak,
David Turner,
dcaoyuan,
Declan Conlon,
Denis Buzdalov,
Denis Rosset,
Den Shabalin,
Denton Cockburn,
Denys Shabalin,
Derek Chen-Beker,
dgruntz,
Dhanesh,
Dhanesh Arole,
Dhirendra Kumar Kashyap,
Dick Wall,
dickwall,
Diego Alonso,
Diego E. Alonso Blas,
Diego E. Alonso-Blas,
Diego Esteban Alonso Blas,
Dima Tkach,
dk14,
Dmitriy Pogretskiy,
Dmitry Bushev,
Dmitry Melnichenko,
Dmitry Nadezhin,
Dmitry Petrashko,
Dominik Gruntz,
Dongjoon Hyun,
Donna Malayeri,
dumpstate,
Earl St Sauver,
Edin Dudojević,
Edmund Noble,
EECOLOR,
Eitan Adler,
Enno Runne,
Eric Peters,
Erik Erlandson,
Erik Osheim,
Erik Rozendaal,
Erlend Hamnaberg,
esarbe,
esfandiar amirrahimi,
Ethan Pronovost,
Étienne Vallette d'Osia,
Eugene Burmako,
Eugene Dzhurinsky,
Eugene Platonov,
Eugene Vigdorchik,
eugene yokota,
Evgeny Kotelnikov,
Evgeny Slutsky,
Evgeny Vereshchagin,
exoego,
Eyal Farago,
Fabien Salvi,
Faiz Halde,
fedgehog,
Felix Mulder,
Flash Sheridan,
folone,
François Garillot,
François Garillot,
Frank S. Thomas,
Gabriel Claramunt,
gakuzzzz,
Ganesh Prasad Kumble,
Geoff Reedy,
Geoffrey Knauth,
Geoffrey Washburn,
Georg,
George Leontiev,
Georgi Chochov,
Georgi Krastev,
Gerard Basler,
ghik,
Gilles Dubochet,
Greg Methvin,
Grzegorz Kossakowski,
Guillaume Martres,
Guy Dickinson,
Gyuhang Shim,
Håkon Hjelde Wold,
Hamza Meknassi,
Hao Xia,
haraldme,
Harrison Houghton,
harryhuk,
Havoc Pennington,
Heather Miller,
Heejong Lee,
Heikki Vesalainen,
hepin1989,
howtonotwin,
Hubert Plociniczak,
Iain McGinniss,
Iaroslav Zeigerman,
Ichoran,
id.ilych,
Igor Moreno,
Igor Racic,
Ikumi Shimizu,
Ilya Maykov,
ilyas,
ingoem,
Ingo Maier,
Isaac Levy,
Ismael Juma,
Iulian Dragos,
Jack Koenig,
Jakob Odersky,
James Iry,
James Roper,
James Ward,
Jamie Allen,
Jamie Thompson,
Jan Bessai,
Janek Bogucki,
Jan Niehusmann,
Jason Swartz,
Jason Zaugg,
Jasper Moeys,
Jean Michel Rouly,
Jean-Remi Desjardins,
Jean-Rémi Desjardins,
jeberle,
Jeff Brower,
Jeff Shaw,
Jens,
Jentsch,
Jeroen ter Voorde,
jhegedus42,
Jiawei Li,
Jimin Hsieh,
jinfu-leng,
JoeRatt,
Johannes Rudolph,
Jonathan Frawley,
Jon Pretty,
Jorge,
Josh,
Josh Lemer,
Josh Marcus,
Josh Suereth,
joymufeng,
Juha Heljoranta,
Julien Richard-Foy,
Julien Truffaut,
Julio Santos,
Juliusz Sompolski,
JustinPihony,
jvican,
jxcoder,
Kamil Duda,
Kamil Kloch,
Kato Kazuyoshi,
Kazuhiro Sera,
k.bigwheel,
kelebra,
kenji yoshida,
Kentaro Tokutomi,
ke-to,
kirillkh,
Kirill Khazan,
Kobenko Mikhail,
Konstantin Fedorov,
Kornel Kielczewski,
Kota Mizushima,
Krystian Nowak,
Krzysztof Romanowski,
kurnevsky,
Lars Hupel,
Laurynas Lubys,
Lee Mighdoll,
Leif Wickland,
leitoh,
lesani,
Lex Spoon,
Lifu Huang,
Li Haoyi,
Linas Medziunas,
Linas Medžiūnas,
Lionel Parreaux,
Li Yao,
lorch,
LPTK,
luajalla,
Lucas Cardoso,
Lucas S Cardoso,
Luc Bourlier,
Lucien Pereira,
Lukas Elmer,
Lukas Rytz,
Łukasz Gieroń,
Lukasz Piepiora,
Luke Cycon,
Lyle Kopnicky,
Mads Hartmann Jensen,
Magnolia.K,
Maks Atygaev,
Malte Isberner,
Manohar Jonnalagedda,
Marcelo Cenerino,
Marcin Kubala,
Marconi Lanna,
Marco Zühlke,
Marc Prud'hommeaux,
Marc Siegel,
Mariot Chauvin,
Mark Harrah,
