displayName,username,sent,repo,number
Miško Hevery,mhevery,2015-03-10T21:42:34.236Z,angular/angular,914
Miško Hevery,mhevery,2015-03-13T18:36:40.760Z,angular/angular,951
Naomi Black,naomiblack,2015-03-16T17:33:57.941Z,angular/angular,973
PatrickJS [tipe.io],gdi2290,2015-03-18T20:43:11.824Z,angular/angular,932
Nathan Norton,Xesued,2015-03-19T14:51:31.697Z,angular/angular,973
Miško Hevery,mhevery,2015-03-20T13:39:23.547Z,angular/angular,965
Pawel Kozlowski,pkozlowski-opensource,2015-03-24T21:30:20.682Z,angular/angular,1085
Dylan Barrell,dylanb,2015-03-25T09:25:13.250Z,angular/angular,1050
Mark Trostler,zzo,2015-03-25T13:49:41.035Z,angular/angular,733
Rob Wormald,robwormald,2015-03-26T18:04:56.627Z,angular/angular,1073
Rob Wormald,robwormald,2015-03-26T18:04:56.627Z,angular/angular,845
Rob Wormald,robwormald,2015-03-28T19:55:04.500Z,angular/angular,929
Rob Wormald,robwormald,2015-03-30T17:33:46.836Z,angular/angular,929
Pawel Kozlowski,pkozlowski-opensource,2015-04-01T16:53:51.361Z,angular/angular,1060
Andrew Joslin,ajoslin,2015-04-02T19:31:20.317Z,angular/angular,932
Andrew Joslin,ajoslin,2015-04-02T20:32:24.619Z,angular/angular,1216
Andrew Joslin,ajoslin,2015-04-02T20:44:55.547Z,angular/angular,1216
Pawel Kozlowski,pkozlowski-opensource,2015-04-03T16:21:23.427Z,angular/angular,1143
Wesley Cho,wesleycho,2015-04-04T15:05:48.932Z,angular/angular,1236
Pascal Precht,PascalPrecht,2015-04-07T11:25:41.049Z,angular/angular,1253
Andrew Joslin,ajoslin,2015-04-07T14:42:42.397Z,angular/angular,1254
Sekib Omazic,SekibOmazic,2015-04-07T18:26:50.297Z,angular/angular,1254
Sekib Omazic,SekibOmazic,2015-04-07T18:26:50.297Z,angular/angular,1216
Rob Wormald,robwormald,2015-04-15T04:59:31.623Z,angular/angular,1244
Pawel Kozlowski,pkozlowski-opensource,2015-04-15T12:06:45.416Z,angular/angular,1293
Pascal Precht,PascalPrecht,2015-04-17T14:19:06.445Z,angular/angular,1425
Pascal Precht,PascalPrecht,2015-04-17T15:08:53.652Z,angular/angular,1425
Pascal Precht,PascalPrecht,2015-04-17T15:55:21.548Z,angular/angular,1425
Pascal Precht,PascalPrecht,2015-04-21T09:28:52.626Z,angular/angular,1472
Pawel Kozlowski,pkozlowski-opensource,2015-04-22T17:30:19.784Z,angular/angular,1293
Pascal Precht,PascalPrecht,2015-04-24T20:23:23.669Z,angular/angular,1486
Pascal Precht,PascalPrecht,2015-04-26T23:20:30.450Z,angular/angular,1486
Pascal Precht,PascalPrecht,2015-04-27T09:11:43.451Z,angular/angular,1551
John Jelinek IV,johnjelinek,2015-04-29T15:33:38.938Z,angular/angular,1590
Miško Hevery,mhevery,2015-04-30T04:17:07.789Z,angular/angular,1598
Pascal Precht,PascalPrecht,2015-04-30T10:14:38.554Z,angular/angular,1606
