displayName,username,sent,repo,number
Deepak Krishnan,dgkris,2015-05-20T22:41:01.047Z,deeplearning4j/deeplearning4j,270
Adam Gibson,agibsonccc,2015-05-24T22:51:09.792Z,deeplearning4j/deeplearning4j,243
raver119,raver119,2015-05-25T17:13:30.025Z,deeplearning4j/deeplearning4j,259
Daniel Chalef,danielchalef,2015-06-02T17:17:33.080Z,deeplearning4j/deeplearning4j,304
Alex Black,AlexDBlack,2015-06-03T01:07:00.560Z,deeplearning4j/deeplearning4j,307
Alex Black,AlexDBlack,2015-06-03T13:45:48.717Z,deeplearning4j/deeplearning4j,309
Adam Gibson,agibsonccc,2015-06-11T23:23:37.275Z,deeplearning4j/deeplearning4j,318
Adam Gibson,agibsonccc,2015-06-12T15:03:53.524Z,deeplearning4j/deeplearning4j,330
Alex Black,AlexDBlack,2015-06-14T02:28:55.203Z,deeplearning4j/deeplearning4j,333
Alex Black,AlexDBlack,2015-06-14T06:02:58.163Z,deeplearning4j/deeplearning4j,335
Deepak Krishnan,dgkris,2015-06-14T08:44:42.601Z,deeplearning4j/deeplearning4j,337
Amine Mouhoub,amouhoub,2015-06-16T15:12:26.817Z,deeplearning4j/deeplearning4j,346
Daniel Chalef,danielchalef,2015-06-16T17:57:47.393Z,deeplearning4j/deeplearning4j,318
Amine Mouhoub,amouhoub,2015-06-17T19:09:47.277Z,deeplearning4j/deeplearning4j,350
Adam Gibson,agibsonccc,2015-06-18T02:54:06.320Z,deeplearning4j/deeplearning4j,349
Alex Black,AlexDBlack,2015-06-18T03:07:31.178Z,deeplearning4j/deeplearning4j,352
Alex Black,AlexDBlack,2015-06-18T13:58:36.668Z,deeplearning4j/deeplearning4j,355
Alex Black,AlexDBlack,2015-06-24T02:47:38.690Z,deeplearning4j/deeplearning4j,366
Adam Gibson,agibsonccc,2015-06-29T05:30:24.889Z,deeplearning4j/deeplearning4j,372
randombishop,randombishop,2015-07-03T17:47:11.458Z,deeplearning4j/deeplearning4j,394
randombishop,randombishop,2015-07-07T15:33:32.338Z,deeplearning4j/deeplearning4j,400
sameerkhurana10,sameerkhurana10,2015-07-13T08:59:57.607Z,deeplearning4j/deeplearning4j,433
Seema Suresh,seemas2309,2015-07-13T23:29:17.619Z,deeplearning4j/deeplearning4j,297
Seema Suresh,seemas2309,2015-07-14T19:33:16.705Z,deeplearning4j/deeplearning4j,452
