displayName,username,sent,repo,number
Sunil,sunilit42,2015-07-31T10:16:24.079Z,magento/magento2,1590
Laura Kishimoto,chicgeek,2015-09-17T08:34:05.003Z,magento/magento2,1821
Pierre Martin,real34,2015-12-04T14:01:56.736Z,magento/magento2,642
rajeshmukkala,rajeshmukkala,2015-12-08T06:38:37.230Z,magento/magento2,2634
rhoerr,rhoerr,2015-12-11T21:13:52.312Z,magento/magento2,2594
rhoerr,rhoerr,2015-12-11T21:13:52.312Z,magento/magento2,2616
Serhii,Serzhik,2016-02-15T14:19:26.446Z,magento/magento2,3409
Ryan Fowler,ryantfowler,2016-06-02T14:55:05.020Z,magento/magento2,4619
shine,shinethazhava,2016-07-14T06:31:29.377Z,magento/magento2,5542
arunkrsigmainfo,arunkrsigmainfo,2016-07-15T05:18:31.919Z,magento/magento2,5642
arunkrsigmainfo,arunkrsigmainfo,2016-07-15T05:19:08.135Z,magento/magento2,5638
Manuel Zapf,SantoDE,2016-10-26T21:46:21.726Z,magento/magento2,4170
Pierre-Olivier Brassard,pobrassard,2016-11-22T20:32:15.111Z,magento/magento2,5068
abi2,abi2,2016-12-18T03:00:19.224Z,magento/magento2,7840
Oleksii Filippovych,klierik,2017-03-30T11:24:03.365Z,magento/magento2,4929
kavehsajjadi,kavehsajjadi,2017-04-18T12:13:33.328Z,magento/magento2,4454
Matt Bidas,MattBidas,2017-04-27T20:26:36.805Z,magento/magento2,7525
Gianluca Belardinelli,GianlucaBelardinelli,2017-05-05T10:12:05.655Z,magento/magento2,9508
Ali Halabyah,alihalabyah,2017-07-06T19:28:45.272Z,magento/magento2,2856
xhallix,xhallix,2018-01-11T15:09:27.093Z,magento/magento2,11107
krombel,krombel,2019-01-22T21:41:32.754Z,magento/magento2,18472
