displayName,username,sent,repo,number
Dan Dascalescu,dandv,2014-12-17T15:54:20.736Z,meteor/meteor,1703
Dan Dascalescu,dandv,2014-12-21T01:44:20.345Z,meteor/meteor,3340
Guillaume Darbonne,guidouil,2014-12-29T14:48:34.831Z,meteor/meteor,2981
Dennis Hettema,hettema,2015-01-09T15:33:27.784Z,meteor/meteor,3444
Eric Elliott,ericelliott,2015-01-15T20:52:36.787Z,meteor/meteor,3480
Garik Suess,gsuess,2015-01-21T22:55:42.915Z,meteor/meteor,3526
Stefan Smiljkovic,shtefcs,2015-01-22T21:06:41.642Z,meteor/meteor,3414
Patrick Coffey,patrickocoffeyo,2015-01-26T19:48:31.519Z,meteor/meteor,3558
Richard Lai,rclai,2015-01-28T13:30:11.652Z,meteor/meteor,3540
jonlachlan,jonlachlan,2015-04-17T02:28:04.649Z,meteor/meteor,4220
Garik Suess,gsuess,2015-06-07T17:47:58.601Z,meteor/meteor,4522
Jared,jareddr,2015-06-24T18:41:18.198Z,meteor/meteor,3698
Johan Alkstål,johanalkstal,2015-07-09T18:59:38.931Z,meteor/meteor,4711
Patrick Lienau,rozzzly,2015-08-17T03:08:36.469Z,meteor/meteor,3765
generalleger,generalleger,2015-09-21T18:53:47.086Z,meteor/meteor,3409
Josh,joshmfrankel,2015-10-01T14:46:02.422Z,meteor/meteor,4933
Olivier,otroboe,2015-10-01T18:38:05.074Z,meteor/meteor,5349
Ilya Izumskee,izumskee,2015-10-02T22:17:33.935Z,meteor/meteor,5219
Aaron Roberson,aaronroberson,2015-10-03T23:26:32.362Z,meteor/meteor,2269
Patrick Recher,patte,2015-10-19T12:57:31.841Z,meteor/meteor,5275
Joakim Repomaa,repomaa,2015-10-20T06:23:36.717Z,meteor/meteor,5472
Patrick Lienau,rozzzly,2015-11-02T09:40:39.082Z,meteor/meteor,5587
generalleger,generalleger,2015-11-06T13:27:40.620Z,meteor/meteor,5621
Simon Fridlund,zimme,2015-11-06T15:32:25.154Z,meteor/meteor,5622
generalleger,generalleger,2015-11-13T20:04:22.973Z,meteor/meteor,5219
Laurent Schaffner,Loschcode,2015-11-26T00:52:51.499Z,meteor/meteor,5711
generalleger,generalleger,2015-12-30T00:01:42.361Z,meteor/meteor,5763
Roman Tarnavski,romant,2016-01-14T03:08:23.525Z,meteor/meteor,1834
William Limratana,limratana,2016-02-19T22:51:24.154Z,meteor/meteor,4314
Robin Newhouse,robinnewhouse,2016-03-04T00:45:52.180Z,meteor/meteor,3603
Robin Newhouse,robinnewhouse,2016-03-04T00:47:13.134Z,meteor/meteor,6266
Robin Newhouse,robinnewhouse,2016-03-29T17:39:26.032Z,meteor/meteor,6016
JarkkoLietolahti,ljack,2016-04-18T15:43:03.964Z,meteor/meteor,5124
Callum Denby,CallumDenby,2016-05-21T12:38:20.790Z,meteor/meteor,6050
watalberto,watalberto,2016-07-01T10:56:17.401Z,meteor/meteor,6529
Adam Monsen,meonkeys,2016-07-31T05:30:04.110Z,meteor/meteor,7470
Vaindal Axel,axelvaindal,2016-08-03T16:45:35.239Z,meteor/meteor,7563
Juho Hietala,juho,2016-08-03T17:40:54.673Z,meteor/meteor,4986
Vaindal Axel,axelvaindal,2016-08-03T18:07:15.300Z,meteor/meteor,7563
Thomas Johnson,thomasj02,2016-08-11T16:35:29.150Z,meteor/meteor,6258
Crazy,crazybaud,2016-09-15T13:29:52.839Z,meteor/meteor,7772
Gurbir Singh,logicerp1993_twitter,2016-10-07T12:21:55.849Z,meteor/meteor,7688
dr.dimitru,dr-dimitru,2016-10-17T09:31:09.560Z,meteor/meteor,7594
Richard Lai,rclai,2016-10-25T22:28:20.256Z,meteor/meteor,7959
Ba Ba K,cyclops24,2016-12-10T09:41:32.190Z,meteor/meteor,8135
Ba Ba K,cyclops24,2016-12-11T03:51:09.863Z,meteor/meteor,8135
Harish Reddy,harishreddy-m,2016-12-29T06:11:27.149Z,meteor/meteor,8200
Dale,Lindstrom1989,2017-01-12T16:58:45.676Z,meteor/meteor,7988
Guillaume Darbonne,guidouil,2017-01-24T20:52:45.692Z,meteor/meteor,3430
kylesharehabitatco,kylesharehabitatco,2017-02-16T01:26:03.934Z,meteor/meteor,3799
Marian Klühspies,mklueh,2017-04-12T17:13:49.848Z,meteor/meteor,8589
ben851new,ben851new,2017-05-30T01:21:19.796Z,meteor/meteor,8464
Sergey,zhukovsp,2017-07-23T16:56:03.788Z,meteor/meteor,8464
John Doe,peculiarity,2017-09-20T11:34:25.718Z,meteor/meteor,8645
Simon Fridlund,zimme,2017-09-27T11:47:51.571Z,meteor/meteor,8756
Nathan Trujillo,bo01ean,2017-10-11T20:09:14.437Z,meteor/meteor,9202
Myles McNamara,tripflex,2017-12-14T15:32:32.849Z,meteor/meteor,9382
Myles McNamara,tripflex,2018-01-21T20:23:49.262Z,meteor/meteor,9561
Lauri Ojansivu,xet7,2018-01-27T10:53:07.677Z,meteor/meteor,9569
Łukasz Włodarczyk,wlodi83,2019-07-09T16:21:27.772Z,meteor/meteor,3826
