displayName,username,sent,repo,number
soc,soc,2015-03-25T22:43:20.367Z,scala/scala,4404
Jon Pretty,propensive,2015-04-19T19:44:49.981Z,scala/scala,4389
Jon Pretty,propensive,2015-04-19T19:53:10.061Z,scala/scala,4389
Jason Zaugg,retronym,2015-04-22T05:11:44.370Z,scala/scala,4463
Jason Zaugg,retronym,2015-04-23T12:39:35.728Z,scala/scala,4465
Adriaan Moors,adriaanm,2015-05-01T20:26:02.312Z,scala/scala,4483
Jason Zaugg,retronym,2015-05-04T05:07:17.507Z,scala/scala,4216
Jason Zaugg,retronym,2015-06-20T20:52:28.863Z,scala/scala,4569
Jason Zaugg,retronym,2015-06-28T13:20:59.848Z,scala/scala,4588
Seth Tisue,SethTisue,2015-06-29T12:46:18.073Z,scala/scala,4586
som-snytt,som-snytt,2015-07-03T17:18:40.124Z,scala/scala,4440
Jason Zaugg,retronym,2015-07-13T06:54:16.896Z,scala/scala,4625
som-snytt,som-snytt,2015-07-14T22:10:01.661Z,scala/scala,4563
Jason Zaugg,retronym,2015-07-16T00:10:43.635Z,scala/scala,2462
som-snytt,som-snytt,2015-07-18T14:57:16.082Z,scala/scala,4641
som-snytt,som-snytt,2015-07-27T08:12:44.509Z,scala/scala,3870
Jason Zaugg,retronym,2015-08-18T22:51:31.758Z,scala/scala,4249
Jason Zaugg,retronym,2015-08-21T05:06:55.022Z,scala/scala,3192
Seth Tisue,SethTisue,2015-09-02T22:33:43.777Z,scala/scala,4674
Jason Zaugg,retronym,2015-09-09T12:02:08.015Z,scala/scala,4725
Jason Zaugg,retronym,2015-09-16T06:01:41.813Z,scala/scala,4725
Seth Tisue,SethTisue,2015-09-16T21:40:15.874Z,scala/scala,4725
soc,soc,2015-09-17T00:21:49.450Z,scala/scala,4747
Vlad Ureche,VladUreche,2015-09-17T04:35:34.909Z,scala/scala,4748
Dale Wijnand,dwijnand,2015-09-28T15:16:08.474Z,scala/scala,4557
Jason Zaugg,retronym,2015-10-10T09:04:18.242Z,scala/scala,4787
Jason Zaugg,retronym,2015-10-10T09:34:10.772Z,scala/scala,4673
Seth Tisue,SethTisue,2015-10-20T19:43:16.505Z,scala/scala,4042
Seth Tisue,SethTisue,2015-10-21T16:07:22.146Z,scala/scala,4042
Jason Zaugg,retronym,2015-11-19T00:23:45.631Z,scala/scala,1675
Ichoran,Ichoran,2015-11-29T20:42:46.643Z,scala/scala,4836
Jason Zaugg,retronym,2015-12-02T00:08:56.628Z,scala/scala,3965
Tin Pavlinic,triggerNZ,2015-12-02T07:37:50.561Z,scala/scala,4854
Shane Delmore,ShaneDelmore,2015-12-08T05:00:24.320Z,scala/scala,4878
som-snytt,som-snytt,2015-12-11T19:19:09.773Z,scala/scala,4841
Jason Zaugg,retronym,2015-12-22T12:34:49.133Z,scala/scala,4858
soc,soc,2016-01-04T10:54:21.575Z,scala/scala,4893
soc,soc,2016-01-16T09:31:44.822Z,scala/scala,4906
Jason Zaugg,retronym,2016-01-25T06:10:12.155Z,scala/scala,2737
Seth Tisue,SethTisue,2016-01-27T15:46:18.046Z,scala/scala,4922
Seth Tisue,SethTisue,2016-02-05T15:51:47.906Z,scala/scala,4042
soc,soc,2016-02-13T17:21:17.087Z,scala/scala,4958
Jason Zaugg,retronym,2016-02-17T00:42:01.728Z,scala/scala,4970
Jason Zaugg,retronym,2016-03-04T04:26:19.105Z,scala/scala,4848
soc,soc,2016-03-16T17:56:26.050Z,scala/scala,5041
Viktor Klang (√),viktorklang,2016-04-01T18:06:23.491Z,scala/scala,5056
FelAl,FelAl,2016-04-07T16:28:49.185Z,scala/scala,5089
Seth Tisue,SethTisue,2016-04-13T18:01:16.649Z,scala/scala,5064
soc,soc,2016-04-27T19:30:55.962Z,scala/scala,5135
Jason Zaugg,retronym,2016-05-01T08:15:32.752Z,scala/scala,3497
Jason Zaugg,retronym,2016-05-04T11:10:04.096Z,scala/scala,4688
soc,soc,2016-05-11T19:51:52.255Z,scala/scala,5135
Jason Zaugg,retronym,2016-05-12T02:08:00.505Z,scala/scala,5099
Seth Tisue,SethTisue,2016-05-12T19:21:23.744Z,scala/scala,4737
som-snytt,som-snytt,2016-05-20T21:50:02.504Z,scala/scala,5175
Jason Zaugg,retronym,2016-05-22T04:42:09.598Z,scala/scala,4379
Jason Zaugg,retronym,2016-05-29T23:48:21.251Z,scala/scala,5099
Dale Wijnand,dwijnand,2016-06-24T06:12:51.782Z,scala/scala,5222
Seth Tisue,SethTisue,2016-08-12T02:07:41.934Z,scala/scala,5141
soc,soc,2016-08-19T06:35:43.821Z,scala/scala,5352
Lj Chen,floating-cat,2016-08-23T12:27:53.747Z,scala/scala,5352
Miles Sabin,milessabin,2016-08-26T16:16:47.529Z,scala/scala,5284
Seth Tisue,SethTisue,2016-09-14T19:19:31.836Z,scala/scala,5307
Georgi Krastev,joroKr21,2016-11-21T12:41:26.074Z,scala/scala,5307
Martijn Hoekstra,martijnhoekstra,2016-11-29T09:50:52.088Z,scala/scala,5516
Seth Bromberger,sbromberger,2016-12-03T06:27:47.971Z,scala/scala,5576
Seth Bromberger,sbromberger,2016-12-04T02:17:56.863Z,scala/scala,5576
som-snytt,som-snytt,2016-12-06T22:49:32.563Z,scala/scala,4306
som-snytt,som-snytt,2016-12-07T00:00:08.477Z,scala/scala,4660
Seth Tisue,SethTisue,2016-12-07T00:33:07.428Z,scala/scala,5582
Jason Zaugg,retronym,2016-12-07T08:37:45.134Z,scala/scala,2793
Seth Tisue,SethTisue,2016-12-23T22:43:29.309Z,scala/scala,1999
Seth Tisue,SethTisue,2016-12-24T17:10:39.407Z,scala/scala,5589
Seth Tisue,SethTisue,2017-01-07T17:26:57.559Z,scala/scala,5603
Ittai Zeidman,ittaiz,2017-01-12T07:10:32.808Z,scala/scala,5562
Jason Zaugg,retronym,2017-01-22T09:14:37.462Z,scala/scala,5106
Seth Tisue,SethTisue,2017-01-23T19:32:15.654Z,scala/scala,5654
Hanns Holger Rutz,Sciss,2017-02-04T16:35:09.609Z,scala/scala,53113
som-snytt,som-snytt,2017-02-07T05:20:28.443Z,scala/scala,5629
Edmund Noble,edmundnoble,2017-02-10T19:40:42.737Z,scala/scala,5238
Seth Tisue,SethTisue,2017-03-02T21:04:26.540Z,scala/scala,5622
Alexander Konovalov,alexknvl,2017-03-02T21:32:11.270Z,scala/scala,5310
Ichoran,Ichoran,2017-03-27T16:31:29.913Z,scala/scala,4544
Wouter Lammers,WtrLammers_twitter,2017-03-28T11:13:27.739Z,scala/scala,4544
Seth Tisue,SethTisue,2017-04-06T01:12:27.976Z,scala/scala,5730
Leif Battermann,battermann,2017-04-06T08:01:54.846Z,scala/scala,5730
Ghost,ghost~540393fe163965c9bc2018ce,2017-04-08T21:33:35.051Z,scala/scala,5592
Seth Tisue,SethTisue,2017-04-23T21:10:35.929Z,scala/scala,5327
Seth Tisue,SethTisue,2017-05-01T03:04:38.271Z,scala/scala,5730
Merlin Göttlinger,mgttlinger,2017-05-02T09:56:20.498Z,scala/scala,5538
som-snytt,som-snytt,2017-05-10T17:09:21.246Z,scala/scala,5898
Jasper Moeys,Jasper-M,2017-05-17T17:25:09.085Z,scala/scala,5796
