displayName,username,sent,repo,number
Jari Pennanen,Ciantic,2015-05-25T13:05:50.087Z,Microsoft/TypeScript,296
Steve Ognibene,nycdotnet,2015-05-25T13:32:27.748Z,Microsoft/TypeScript,3203
Tingan Ho,tinganho,2015-05-26T08:34:48.797Z,Microsoft/TypeScript,3022
François de Campredon,fdecampredon,2015-05-27T18:14:41.289Z,Microsoft/TypeScript,1809
Micah Zoltu,MicahZoltu,2015-05-31T22:59:48.191Z,Microsoft/TypeScript,3324
Jari Pennanen,Ciantic,2015-06-02T15:12:24.935Z,Microsoft/TypeScript,3089
Daniel Rosenwasser,DanielRosenwasser,2015-06-04T22:24:33.617Z,Microsoft/TypeScript,1664
Mohamed Hegazy,mhegazy,2015-06-09T05:12:34.319Z,Microsoft/TypeScript,3393
Micah Zoltu,MicahZoltu,2015-06-11T01:45:38.843Z,Microsoft/TypeScript,3325
Jari Pennanen,Ciantic,2015-06-11T05:23:32.132Z,Microsoft/TypeScript,3448
Aleksey Bykov,aleksey-bykov,2015-06-16T15:22:41.636Z,Microsoft/TypeScript,3067
Aleksey Bykov,aleksey-bykov,2015-06-16T18:34:31.470Z,Microsoft/TypeScript,3523
Daniel Rosenwasser,DanielRosenwasser,2015-06-18T17:23:32.687Z,Microsoft/TypeScript,2589
Nelo Mitranim,Mitranim,2015-06-30T08:41:30.789Z,Microsoft/TypeScript,2577
Jari Pennanen,Ciantic,2015-07-02T08:31:18.108Z,Microsoft/TypeScript,3708
Micah Zoltu,MicahZoltu,2015-07-05T03:21:13.272Z,Microsoft/TypeScript,2338
Alexander Fisher,pixelshaded,2015-07-14T18:58:42.983Z,Microsoft/TypeScript,3857
Tingan Ho,tinganho,2015-07-16T08:11:41.354Z,Microsoft/TypeScript,449
Ryan Cavanaugh,RyanCavanaugh,2015-07-22T19:51:57.612Z,Microsoft/TypeScript,3192
Micah Zoltu,MicahZoltu,2015-07-25T19:22:34.522Z,Microsoft/TypeScript,3232
Micah Zoltu,MicahZoltu,2015-07-25T19:23:38.263Z,Microsoft/TypeScript,3232
Ryan Cavanaugh,RyanCavanaugh,2015-07-30T22:54:41.570Z,Microsoft/TypeScript,2491
Lucien Greathouse,LPGhatguy,2015-07-31T19:15:07.699Z,Microsoft/TypeScript,3164
Nelo Mitranim,Mitranim,2015-08-04T11:56:37.517Z,Microsoft/TypeScript,2577
Yegor Roganov,roganov,2015-08-11T14:48:35.303Z,Microsoft/TypeScript,1003
hschmidt99,hschmidt99,2015-08-14T11:01:01.552Z,Microsoft/TypeScript,1537
Vsevolod Ivanov,wwwsevolod,2015-08-15T18:35:43.365Z,Microsoft/TypeScript,1773
Mohamed Hegazy,mhegazy,2015-08-19T17:51:00.603Z,Microsoft/TypeScript,3283
Mohamed Hegazy,mhegazy,2015-08-19T17:51:30.028Z,Microsoft/TypeScript,4352
Daniel Rosenwasser,DanielRosenwasser,2015-08-21T00:10:25.050Z,Microsoft/TypeScript,2249
Vsevolod Ivanov,wwwsevolod,2015-08-22T20:49:36.896Z,Microsoft/TypeScript,4364
Richard Simpson,RichiCoder1,2015-08-27T17:53:26.765Z,Microsoft/TypeScript,3694
Pedro de la Cruz Jr.,delaman,2015-09-03T19:01:17.927Z,Microsoft/TypeScript,3442
hschmidt99,hschmidt99,2015-09-11T09:08:52.329Z,Microsoft/TypeScript,2338
Daniel Rosenwasser,DanielRosenwasser,2015-09-11T23:05:31.507Z,Microsoft/TypeScript,2338
Gerasimos (Makis) Maropoulos,removed~kataras,2015-09-16T10:17:40.651Z,Microsoft/TypeScript,3622
Eyal Solnik,eyalsk,2015-09-19T02:08:52.062Z,Microsoft/TypeScript,4870
Eyal Solnik,eyalsk,2015-09-19T05:47:27.637Z,Microsoft/TypeScript,4871
Samuel Marks,SamuelMarks,2015-09-21T12:42:47.191Z,Microsoft/TypeScript,4897
James Brantly,jbrantly,2015-09-21T15:21:56.552Z,Microsoft/TypeScript,4811
James Brantly,jbrantly,2015-09-21T15:22:26.526Z,Microsoft/TypeScript,4389
AlecTaylor,AlecTaylor,2015-09-23T14:10:40.154Z,Microsoft/TypeScript,4940
Cu3PO42,Cu3PO42,2015-09-25T19:31:03.309Z,Microsoft/TypeScript,560
reliak,reliak,2015-09-27T05:03:55.445Z,Microsoft/TypeScript,596
James Brantly,jbrantly,2015-10-01T19:27:06.605Z,Microsoft/TypeScript,2022
York Yao,plantain-00,2015-10-05T00:39:37.166Z,Microsoft/TypeScript,4590
Martin Vseticka,MartyIX,2015-10-07T14:11:34.452Z,Microsoft/TypeScript,5084
Martin Vseticka,MartyIX,2015-10-09T18:57:35.787Z,Microsoft/TypeScript,5084
Eyal Solnik,eyalsk,2015-10-13T15:36:10.762Z,Microsoft/TypeScript,5239
Daniel Rosenwasser,DanielRosenwasser,2015-10-16T16:45:19.674Z,Microsoft/TypeScript,5208
Lucien Greathouse,LPGhatguy,2015-10-21T22:28:05.740Z,Microsoft/TypeScript,5357
Cameron Barre,cjbarre,2015-10-23T17:34:33.896Z,Microsoft/TypeScript,442
theduke,theduke,2015-10-24T23:55:40.539Z,Microsoft/TypeScript,5395
Jan Pfitzner,alfrescian,2015-10-28T16:51:06.723Z,Microsoft/TypeScript,5039
Jan Pfitzner,alfrescian,2015-10-28T16:53:27.390Z,Microsoft/TypeScript,5039
James Brantly,jbrantly,2015-10-29T13:44:41.452Z,Microsoft/TypeScript,392
Jason Killian,JKillian,2015-10-29T20:29:21.600Z,Microsoft/TypeScript,2242
Sebastien Arod,sarod,2015-11-02T08:26:54.901Z,Microsoft/TypeScript,3101
