displayName,username,sent,repo,number
Denis Karabaza,simplesmiler,2015-10-19T21:08:46.970Z,vuejs/vue,1437
David Hund,davidhund,2015-10-19T21:11:46.776Z,vuejs/vue,1437
Koen Calliauw,kcalliauw,2015-10-27T19:03:44.297Z,vuejs/vue,1479
Guy,theGC,2015-10-28T07:51:06.584Z,vuejs/vue,1499
Denis Karabaza,simplesmiler,2015-11-03T14:56:46.388Z,vuejs/vue,1683
Joseph Silber,JosephSilber,2015-11-10T21:03:00.846Z,vuejs/vue,1787
Joseph Silber,JosephSilber,2015-11-10T21:03:29.757Z,vuejs/vue,1787
Yatin Badal,FBI23,2015-11-12T16:26:31.137Z,vuejs/vue,1325
Tremendus Apps,tremendus,2015-11-19T21:42:37.454Z,vuejs/vue,1833
ric0,ecerroni,2015-11-24T16:38:18.844Z,vuejs/vue,814
Aresn,icarusion,2015-11-30T15:25:17.114Z,vuejs/vue,1941
Piotr Kawiak,pkawiak,2015-12-01T13:05:11.352Z,vuejs/vue,1946
Denis Karabaza,simplesmiler,2015-12-02T15:17:36.560Z,vuejs/vue,1780
Scott,smolinari,2015-12-12T07:26:18.199Z,vuejs/vue,2000
Nick,fobdy,2015-12-17T16:06:47.702Z,vuejs/vue,2046
Denis Karabaza,simplesmiler,2015-12-22T15:58:13.367Z,vuejs/vue,2068
Lars Boldt,larsboldt,2016-01-03T08:41:17.691Z,vuejs/vue,2105
Jihad Dzikri Waspada,dewey92,2016-01-07T02:54:57.533Z,vuejs/vue,1992
Craig McKenna,craigdmckenna,2016-01-08T01:21:32.317Z,vuejs/vue,1297
Tristan Bessoussa,tristanbes,2016-01-14T10:53:27.915Z,vuejs/vue,2160
Collin Henderson,syropian,2016-01-25T01:40:58.306Z,vuejs/vue,2217
Denis Karabaza,simplesmiler,2016-01-28T16:23:31.545Z,vuejs/vue,2250
Bill Criswell,crswll,2016-02-03T20:24:49.544Z,vuejs/vue,1169
Blake Newman,blake-newman,2016-02-08T10:55:02.812Z,vuejs/vue,2308
Danny Fritz,dannyfritz,2016-02-12T04:44:03.019Z,vuejs/vue,1036
Jeff,sagalbot,2016-02-23T21:28:15.218Z,vuejs/vue,1250
Dan Sullivan,dansullivan86,2016-02-24T16:50:29.677Z,vuejs/vue,1200
dennisver,dennisver,2016-03-03T19:51:43.458Z,vuejs/vue,1197
Vadym,dragantl,2016-03-08T21:29:59.362Z,vuejs/vue,1334
Dan Sullivan,dansullivan86,2016-03-10T08:44:54.660Z,vuejs/vue,478
Sergey Morkovkin,sergeymorkovkin,2016-03-23T16:42:50.588Z,vuejs/vue,2550
Denis Karabaza,simplesmiler,2016-03-23T21:23:26.015Z,vuejs/vue,1949
Vadym,dragantl,2016-03-30T20:17:37.346Z,vuejs/vue,2596
Jeff Marshall,jeffmarshall,2016-04-02T22:00:35.497Z,vuejs/vue,2592
itadakimas,itadakimas,2016-04-08T21:25:14.486Z,vuejs/vue,2642
itadakimas,itadakimas,2016-04-08T23:49:38.531Z,vuejs/vue,2642
Frank Dugan III,frankdugan3,2016-04-12T12:14:32.635Z,vuejs/vue,478
Chris Fritz,chrisvfritz,2016-04-13T17:52:57.792Z,vuejs/vue,2592
Igor Randjelovic,rigor789,2016-04-19T14:46:51.175Z,vuejs/vue,918
jimmycliff obonyo,obonyojimmy,2016-04-24T20:11:30.445Z,vuejs/vue,2719
Edwin Marshall,aspidites,2016-04-26T12:43:22.956Z,vuejs/vue,383
Scott,smolinari,2016-04-28T06:15:30.542Z,vuejs/vue,2756
Bill Criswell,crswll,2016-04-28T14:07:29.562Z,vuejs/vue,2756
Phan An,phanan,2016-05-02T03:48:02.394Z,vuejs/vue,2756
Michael Lake,beornlake,2016-05-02T16:11:42.595Z,vuejs/vue,561
djam90,djam90,2016-05-04T09:05:57.358Z,vuejs/vue,503
djam90,djam90,2016-05-04T18:52:07.304Z,vuejs/vue,2804
Adrian Sieber,adius,2016-05-04T22:36:52.526Z,vuejs/vue,863
Felipe Jordão,codextremist,2016-05-04T23:58:04.843Z,vuejs/vue,2049
Jethro Kuan,jethrokuan,2016-05-06T16:26:26.425Z,vuejs/vue,2424
Cristi Jora,cristijora,2016-05-10T06:50:40.149Z,vuejs/vue,2550
Igor Randjelovic,rigor789,2016-05-15T12:26:54.149Z,vuejs/vue,2873
Travis Fisher,travisfisher,2016-05-18T15:51:20.674Z,vuejs/vue,2271
thinkpadder1,thinkpadder1,2016-05-18T20:13:42.305Z,vuejs/vue,2857
Galdor,ght,2016-05-19T13:33:28.752Z,vuejs/vue,2114
Kazi Sadman Ahmed,sadmanbd,2016-05-24T14:40:46.292Z,vuejs/vue,339
Kazi Sadman Ahmed,sadmanbd,2016-05-24T15:21:13.267Z,vuejs/vue,2873
